Remove,Eliminar
"Order Date: %1","Order Date: %1"
"Discount (%1)","Discount (%1)"
"Shipping &amp; Handling","Envío y preparación"
"Credit Memos","Facturas rectificativas"
Invoices,Facturas
"We cannot get the order instance.","We cannot get the order instance."
"Create New Order","Crear un nuevo pedido"
"Save Order Address","Guardar dirección del pedido"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Información de la Dirección del Pedido"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Order","Enviar pedido"
"Are you sure you want to cancel this order?","¿Está seguro de que quiere cancelar este pedido?"
"Order Comment","Comentario del pedido"
"Please select a customer.","Please select a customer."
"Create New Customer","Crear un nuevo cliente"
"Edit Order #%1","Edit Order #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Crear un nuevo pedido para un nuevo cliente"
"Items Ordered","Artículos Pedidos"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Artículo pedido qty"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Introduzca el precio a medida con impuestos"
"* - Enter custom price excluding tax","* - Introduzca el precio a medida sin impuestos"
"This product does not have any configurable options","Este productor no dispone de opciones de configuración"
"Add Selected Product(s) to Order","Añadir el(los) Producto(s) Seleccionado(s) al Pedido"
"Update Changes","Actualizar Cambios"
"Are you sure you want to delete all items from shopping cart?","¿Seguro que quiere borrar todos los artículos del carro de la compra?"
"Products in Comparison List","Productos en la Lista de Comparación"
"Last Ordered Items","Últimos Artículos Pedidos"
"Please select a store.","Please select a store."
"Order Totals","Solicitar totales"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Reembolso del Envío (Impuestos incl.)"
"Refund Shipping (Excl. Tax)","Reembolso del Envío (Impuestos no incl.)"
"Refund Shipping","Reembolso del Envío"
"Update Qty's","Actualizar Cantidad/es"
Refund,Reembolso
"Refund Offline","Reembolso Fuera de Línea"
"Paid Amount","Cantidad pagada"
"Refund Amount","Importe del Reembolso"
"Shipping Refund","Reembolso de Envío"
"Order Grand Total","Total del pedido"
"Adjustment Refund","Reembolso de Ajuste"
"Adjustment Fee","Tarifa de Ajuste"
"Send Email","Envíar Correo electrónico"
"Are you sure you want to send a Credit memo email to customer?","Are you sure you want to send a Credit memo email to customer?"
"The credit memo email was sent","The credit memo email was sent"
"the credit memo email is not sent","el email de nota de crédito no se ha enviado"
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Reembolso Total"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Enviar factura y gastos de envío"
"Submit Invoice","Enviar factura"
"Are you sure you want to send an Invoice email to customer?","Are you sure you want to send an Invoice email to customer?"
"Credit Memo","Factura rectificativa"
Capture,Captura
"the invoice email was sent","El correo electrónico de la factura fue enviado"
"the invoice email is not sent","El correo electrónico de la factura no se ha enviado"
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Order Statuses","Estados de los Pedidos"
"Create New Status","Crear nuevo estado"
"Assign Status to State","Asignar estado a estado"
"Save Status Assignment","Guardar estado de la tarea"
"Assign Order Status to State","Asignar estado de pedido a estado"
"Assignment Information","Información de asignación"
"Order State","Estado del Pedido"
"Use Order Status As Default","Usar estado de pedido por defecto"
"Visible On Frontend","Visible On Frontend"
"Edit Order Status","Editar estado de pedido"
"Save Status","Guardar estado"
"New Order Status","Estado de los nuevos pedidos"
"Order Status Information","Información del Estado del Pedido"
"Status Code","Código de estado"
"Status Label","Etiqueta de estado"
"Store View Specific Labels","Etiquetas específicas de la vista del almacén"
"Total Paid","Total pagado"
"Total Due","Total de deuda"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","¿Está seguro de que quiere invalidar el pago?"
Hold,Espera
hold,hold
Unhold,Recuperar
unhold,unhold
"Are you sure you want to accept this payment?","¿Está seguro de que quiere aceptar este pago?"
"Accept Payment","Aceptar Pago"
"Are you sure you want to deny this payment?","¿Está seguro de que quiere rechazar este pago?"
"Deny Payment","Denegar el pago"
"Get Payment Update","Recibir la actualización de pago"
"Invoice and Ship","Factura y envío"
Invoice,Factura
Ship,Enviar
Reorder,"Volver a hacer el pedido"
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Save Gift Message"
"Order Credit Memos","Pedido de Nota de Créditos"
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Shipment #%1 created"
"Shipment #%1 comment added","Shipment #%1 comment added"
"Invoice #%1 created","Invoice #%1 created"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History","Historial de comentarios"
"Order History","Historial del pedido"
"Order Information","Información del pedido"
"Order Invoices","Facturas de Pedido"
Shipments,Envíos
"Order Shipments","Envíos del pedido"
Transactions,Transacciones
"Order View","Vista del pedido"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Show Actual Values","Show Actual Values"
"Shipping & Handling","Manipulación y expedición"
Fetch,Capturar
"Transaction # %1 | %2","Transaction # %1 | %2"
Key,Clave
Value,Valor
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Order # %1"
"Back to My Orders","Volver a mis pedidos"
"View Another Order","Ver Otro Pedido"
"About Your Refund","Acerca de su devolución"
"My Orders","Mis pedidos"
"About Your Invoice","Acerca de su factura"
"Print Order # %1","Print Order # %1"
"Grand Total to be Charged","Importe total a cobrar"
Unassign,"Sin asignar"
"We sent the message.","We sent the message."
"This order no longer exists.","Esta orden ya no existe."
"Exception occurred during order load","Exception occurred during order load"
"You sent the order email.","You sent the order email."
"We couldn't send the email order.","We couldn't send the email order."
"You canceled the order.","You canceled the order."
"You have not canceled the item.","You have not canceled the item."
"You put the order on hold.","You put the order on hold."
"You have not put the order on hold.","You have not put the order on hold."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"The payment has been accepted.","El pago se ha aceptado."
"The payment has been denied.","El pago ha sido denegado."
"The payment update has been made.","The payment update has been made."
"Comment text cannot be empty.","Comment text cannot be empty."
"We cannot add order history.","We cannot add order history."
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","Ningún pedido fue puesto en suspenso."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","No hay documentos para imprimir relacionados con los pedidos seleccionados."
"The payment has been voided.","El pago ha sido anulado."
"We couldn't void the payment.","We couldn't void the payment."
"You updated the order address.","You updated the order address."
"Something went wrong updating the order address.","Something went wrong updating the order address."
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","El código del cupón se ha aceptado"
"New Order","Nuevo Pedido"
"The order no longer exists.","The order no longer exists."
"Cannot create credit memo for the order.","Cannot create credit memo for the order."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"Cannot update the item's quantity.","Cannot update the item's quantity."
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"Cannot save the credit memo.","Cannot save the credit memo."
"The credit memo has been canceled.","The credit memo has been canceled."
"You canceled the credit memo.","You canceled the credit memo."
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The Comment Text field cannot be empty.","The Comment Text field cannot be empty."
"Cannot add new comment.","Cannot add new comment."
"Edit Order","Edit Order"
"The invoice no longer exists.","The invoice no longer exists."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"New Invoice","Nueva Factura"
"Cannot update item quantity.","Cannot update item quantity."
"The invoice and the shipment  have been created. ' 'The shipping label cannot be created now.","The invoice and the shipment  have been created. ' 'The shipping label cannot be created now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email.","We can't send the invoice email."
"We can't send the shipment.","We can't send the shipment."
"We can't save the invoice.","We can't save the invoice."
"The invoice has been captured.","The invoice has been captured."
"Invoice capturing error","Invoice capturing error"
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"Create New Order Status","Crear nuevo estado de pedido"
"We can't find this order status.","We can't find this order status."
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You have saved the order status.","You have saved the order status."
"We couldn't add your order status because something went wrong saving.","We couldn't add your order status because something went wrong saving."
"You have assigned the order status.","You have assigned the order status."
"An error occurred while assigning order status. Status has not been assigned.","Ha ocurrido un error al asignar el estado de su pedido. No se ha asignado estado."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while we were unassigning the order.","Something went wrong while we were unassigning the order."
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"The gift message has been saved.","The gift message has been saved."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Pedidos y devoluciones"
"This item price or quantity is not valid for checkout.","This item price or quantity is not valid for checkout."
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We couldn't find this wish list.","We couldn't find this wish list."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Shipping Address: "
"Billing Address: ","Billing Address: "
"You need to specify order items.","You need to specify order items."
"You need to specify a shipping method.","You need to specify a shipping method."
"A payment method must be specified.","A payment method must be specified."
"This payment method instance is not available.","This payment method instance is not available."
"This payment method is not available.","This payment method is not available."
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","We cannot cancel this order."
"The most money available to refund is %1.","The most money available to refund is %1."
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"Unknown State","Estado desconocido"
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"We cannot register an existing invoice","We cannot register an existing invoice"
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"Unknown Status","Estados desconocidos"
Backordered,"Pendientes de entrega"
Partial,Parcial
Mixed,Mixto
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"An order with subscription items was registered.","An order with subscription items was registered."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Registered a Void notification.","Registrada una información anulada."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2""","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"""
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","El pago ha sido aprobado a distancia."
"There is no need to approve this payment.","There is no need to approve this payment."
"Registered notification about approved payment.","Notificación certificada sobre el pago aprobado."
"Denied the payment online","Denied the payment online"
"There is no need to deny this payment.","No hay necesidad de negar este pago."
"Registered notification about denied payment.","Registrada notificación sobre un pago denegado."
"Registered update about approved payment.","Registrada actualización sobre un pago aprobado."
"Registered update about denied payment.","Actualización registrada sobre pago denegado."
"There is no update for the payment.","No hay actualizaciones para este pago."
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Authorized amount of %1","Authorized amount of %1"
"Voided authorization.","Autorización anulada"
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Transaction ID: ""%1"""
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Establecer orden para las transacciones existentes no permitido"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment object.","Please set a proper payment object."
"The Transaction ID field cannot be empty.","The Transaction ID field cannot be empty."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Shipping Method:","Método de envío:"
"Total Shipping Charges","Total de gastos de envío"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Total (ex)","Total (ex)"
"Total (inc)","Total (inc)"
"Credit Memo # ","Credit Memo # "
"Invoice # ","Invoice # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Packing Slip # ","Albaranes #"
"We cannot register an existing shipment","We cannot register an existing shipment"
"We cannot create an empty shipment.","We cannot create an empty shipment."
"We found an invalid qty to ship for item ""%1"".","We found an invalid qty to ship for item ""%1""."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"Sorry, but items with payment agreements must be ordered one at a time To continue, please remove or buy the other items in your cart, then order this item by itself.","Sorry, but items with payment agreements must be ordered one at a time To continue, please remove or buy the other items in your cart, then order this item by itself."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"This is the wrong quote item id to update configuration.","This is the wrong quote item id to update configuration."
"This shipping method is not available. To use this shipping method, please contact us.","This shipping method is not available. To use this shipping method, please contact us."
"The address model is not defined.","The address model is not defined."
"The address total model should be extended from \Magento\Sales\Model\Quote\Address\Total\AbstractTotal.","El modelo de dirección total debería extenderse desde \Magento\Sales\Model\Quote\Address\Total\AbstractTotal."
"Subscription Items","Subscription Items"
"Regular Payment","Pago ordinario"
"Shipping & Handling (%1)","Shipping & Handling (%1)"
"We found an invalid item option format.","We found an invalid item option format."
"Item qty declaration error","Item qty declaration error"
"Some of the products below do not have all the required options.","Some of the products below do not have all the required options."
"Something went wrong during the item options declaration.","Something went wrong during the item options declaration."
"We found an item options declaration error.","We found an item options declaration error."
"Some of the selected options are not currently available.","Some of the selected options are not currently available."
"Selected option(s) or their combination is not currently available.","Selected option(s) or their combination is not currently available."
"Some item options or their combination are not currently available.","Some item options or their combination are not currently available."
"The requested Payment Method is not available.","El método de pago solicitado no está disponible."
"We cannot determine the field name.","We cannot determine the field name."
"Please specify a valid grid column alias name that exists in the grid table.","Please specify a valid grid column alias name that exists in the grid table."
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Please check the shipping address information. %1","Please check the shipping address information. %1"
"Please specify a shipping method.","Por favor, especifique un modo de envío."
"Please check the billing address information. %1","Please check the billing address information. %1"
"Please select a valid payment method.","Por favor, seleccione un modo de pago válido."
"Pending Payment","Pago Pendiente"
"On Hold","En pausa"
Complete,Completo
"Suspected Fraud","Sospecha de fraude"
"Payment Review","Revisión del Pago"
"Changing address information will not recalculate shipping, tax or other order amount.","Al cambiar la información de la dirección no se recalculan el envío, los impuestos ni el total del pedido."
"Order Comments","Comentarios del pedido"
"Order Currency:","Divisa del pedido"
"Select from existing customer addresses:","Seleccionar entre las direcciones del cliente existentes"
"Same As Billing Address","La misma que la dirección de facturación"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Mensaje de Regalo por Todo el Pedido"
"Move to Shopping Cart","Mover al Carro de la Compra"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Click to change shipping method","Haz click aquí para cambiar el método de envío"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Obtener métodos de envío y tarifas"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Append Comments","Agregar Comentarios"
"Email Order Confirmation","Enviar por Email Confirmación de Pedido"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"The order was placed using %1.","The order was placed using %1."
"Items to Refund","Artículos para devolver"
"Return to Stock","Volver al Stock"
"Qty to Refund","Cantidad para Reembolsar"
"Row Total","Fila Total"
"No Items To Refund","Sin Artículos que Reembolsar"
"Credit Memo Comments","Comentarios de la factura rectificativa"
"Refund Totals","Totales de Reembolso"
"Email Copy of Credit Memo","Enviar una copia de la factura rectificativa por correo electrónico"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Artículos devueltos"
"No Items","No hay Artículos"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Create Shipment","Crear envío"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"Qty to Invoice","Cantidad para Facturar"
"Invoice History","Invoice History"
"Invoice Comments","Comentarios de factura"
"Invoice Totals","Invoice Totals"
"Capture Amount","Captura de importe"
"Capture Online","Captura online"
"Capture Offline","Captura offline"
"Not Capture","Sin Captura"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Enviar por Email Copia de Factura"
"Items Invoiced","Artículos facturados."
"Total Tax","Impuesto Total"
"From Name","Por nombre"
"To Name","A nombre de"
"Add Order Comments","Añadir Comentarios al Pedido"
"Notification Not Applicable","Notificación no Aplicable"
"the order confirmation email was sent","El correo electrónico de confirmación del pedido fue enviado"
"the order confirmation email is not sent","El correo electrónico de confirmación del pedido no se ha enviado"
"Order Date (%1)","Order Date (%1)"
"Purchased From","Comprado de"
"Link to the New Order","Enlace al Nuevo Pedido"
"Link to the Previous Order","Enlace al Pedido Anterior"
"Placed from IP","Realizado desde IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Item Status","Estado del artículo"
"Original Price","Precio original"
"Tax Percent","Porcentaje de impuestos"
"Transaction Data","Transaction Data"
"Parent Transaction ID","ID de Transacción Padre"
"Transaction Type","Tipo de Transacción"
"Is Closed","Is Closed"
"Child Transactions","Child Transactions"
"Transaction Details","Transaction Details"
"Gift Message for this Order","Mensaje de regalo para este pedido"
"Shipped By","Enviado por"
"Tracking Number","Número de Seguimiento"
"Billing Last Name","Apellido para Facturación"
"Find Order By:","Buscar Pedido Por:"
"ZIP Code","ZIP Code"
"Billing ZIP Code","Código Postal para Facturación"
"Print All Refunds","Imprimir Todos los Reembolsos"
"Refund #","Reembolso #"
"Print Refund","Imprimir Reembolso"
"You have placed no orders.","No has hecho ningún pedido."
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"No shipping information available","No hay disponible información sobre el envío"
"Print Order","Imprimir Pedido"
"Subscribe to Order Status","Suscribirse al Estado de Pedido"
"Print All Invoices","Imprimir Todas las Facturas"
"Invoice #","Factura #"
"Print Invoice","Imprimir Factura"
"Qty Invoiced","Cantidad Facturada"
"Refund #%1","Refund #%1"
"Invoice #%1","Invoice #%1"
"Shipment #%1","Shipment #%1"
"Items Shipped","Artículos enviados"
"Qty Shipped","Cantidad Enviada"
"View All","Ver todos/as"
"Gift Message for This Order","Mensaje de regalo para este pedido"
"About Your Order","En Relación con Su Pedido"
"Shipment Comments","Shipment Comments"
"Gift Options for ","Gift Options for "
Ok,Ok
"Anchor Custom Title","Anclar Título Personalizado"
Phone,Phone
"Default Template","Plantilla predeterminada"
"Minimum Order Amount","Minimum Order Amount"
Comma-separated,Comma-separated
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    "
