Remove,删除
"Shopping Cart Price Rule","Shopping Cart Price Rule"
CSV,CSV
"Excel XML","Excel XML"
"Total Refunded",退款总量
Paid,已付费
Coupons,折价券
"Recently Viewed",最近查看过的
"Recently Compared Products",最近比较过的产品
"Recently Viewed Products",最近查看过的产品
Print,打印
"Submit Comment",提交评论
Returned,已退款
"Order Date",订单日期
"Order # ","Order # "
"Order Date: ",订单日期：
"Comment Text",评论文字
"Visible on Frontend",前端可见
"Not Notified",未通知
"Please select products.","Please select products."
Number,数字
"Order Date: %1","Order Date: %1"
"Discount (%1)","Discount (%1)"
"Shipping &amp; Handling",运送与手续费
"Credit Memos",信用记录
Invoices,发票
"We cannot get the order instance.","We cannot get the order instance."
"Create New Order",创建新订单
"Save Order Address",保存订单地址
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information",订单地址信息
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Order",提交订单
"Are you sure you want to cancel this order?",您确认要取消该订单吗？
"Order Comment",订单评论
"Please select a customer.","Please select a customer."
"Create New Customer",创建新客户
"Edit Order #%1","Edit Order #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer",为新客户创建新订单
"Items Ordered",商品已下单
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty",下单商品的数量
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - 输入含税的自定义价格"
"* - Enter custom price excluding tax","* - 输入不含税的自定义价格"
"This product does not have any configurable options",该产品不包含任何可配置选项
"Add Selected Product(s) to Order",添加所选产品到订单
"Update Changes",更新更改
"Are you sure you want to delete all items from shopping cart?",你是否确定要删除购物车中的所有内容？
"Products in Comparison List",比较列表中的产品
"Last Ordered Items",上次订购的商品
"Please select a store.","Please select a store."
"Order Totals",订单总数
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)",发货退款（含税）
"Refund Shipping (Excl. Tax)",发货退款（不含税）
"Refund Shipping",发货退款
"Update Qty's",更新数量
Refund,退款
"Refund Offline",离线退款
"Paid Amount",付费金额
"Refund Amount",退款额度
"Shipping Refund",运单退款
"Order Grand Total",订单总数
"Adjustment Refund",调整退款
"Adjustment Fee",调整费
"Send Email",发送邮件
"Are you sure you want to send a Credit memo email to customer?","Are you sure you want to send a Credit memo email to customer?"
"The credit memo email was sent","The credit memo email was sent"
"the credit memo email is not sent",信用备忘录邮件未发送
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund",总退款额
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment",提交发票与运单
"Submit Invoice",提交发票
"Are you sure you want to send an Invoice email to customer?","Are you sure you want to send an Invoice email to customer?"
"Credit Memo",信用记录
Capture,获取
"the invoice email was sent",发票电子邮件已发送
"the invoice email is not sent",发票电子邮件未发送
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Order Statuses",订单状态
"Create New Status",创建新状态
"Assign Status to State",按国家分配状态
"Save Status Assignment",保存状态协议
"Assign Order Status to State",按国家分配订单状态
"Assignment Information",分配信息
"Order State",订单状态
"Use Order Status As Default",默认使用订单状态
"Visible On Frontend","Visible On Frontend"
"Edit Order Status",编辑订单状态
"Save Status",销售状态
"New Order Status",新订单状态
"Order Status Information",订单状态信息
"Status Code",状态代码
"Status Label",状态标签
"Store View Specific Labels",店铺视图指定的标签
"Total Paid",同付款额
"Total Due",总额
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?",您确认要使支付无效吗？
Hold,暂挂
hold,hold
Unhold,适当
unhold,unhold
"Are you sure you want to accept this payment?",您确认要接受该支付吗？
"Accept Payment",接受付款
"Are you sure you want to deny this payment?",您确认要拒绝该支付吗？
"Deny Payment",拒绝支付
"Get Payment Update",获得支付更新
"Invoice and Ship",发票与发货
Invoice,发票
Ship,送货
Reorder,记录
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Save Gift Message"
"Order Credit Memos",订单信用记录
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Shipment #%1 created"
"Shipment #%1 comment added","Shipment #%1 comment added"
"Invoice #%1 created","Invoice #%1 created"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History",评论历史
"Order History",订单历史
"Order Information",订单信息
"Order Invoices",订单发票
Shipments,发货
"Order Shipments",订单发货
Transactions,交易
"Order View",订单查看
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Show Actual Values","Show Actual Values"
"Shipping & Handling",运费和手续费
Fetch,获取
"Transaction # %1 | %2","Transaction # %1 | %2"
Key,密钥
Value,值
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Order # %1"
"Back to My Orders",返回我的订单
"View Another Order",查看另一订单
"About Your Refund",关于您的退款
"My Orders",我的订单
"About Your Invoice",关于您的发票
"Print Order # %1","Print Order # %1"
"Grand Total to be Charged",需要收取的总费用
Unassign,撤销分配
"We sent the message.","We sent the message."
"This order no longer exists.",该订单已不存在。
"Exception occurred during order load","Exception occurred during order load"
"You sent the order email.","You sent the order email."
"We couldn't send the email order.","We couldn't send the email order."
"You canceled the order.","You canceled the order."
"You have not canceled the item.","You have not canceled the item."
"You put the order on hold.","You put the order on hold."
"You have not put the order on hold.","You have not put the order on hold."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"The payment has been accepted.",支付已被接受。
"The payment has been denied.",支付已被拒绝。
"The payment update has been made.","The payment update has been made."
"Comment text cannot be empty.","Comment text cannot be empty."
"We cannot add order history.","We cannot add order history."
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.",没有被暂挂的订单。
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.",没有与所选订单有关的可打印文档。
"The payment has been voided.",支付已被撤销。
"We couldn't void the payment.","We couldn't void the payment."
"You updated the order address.","You updated the order address."
"Something went wrong updating the order address.","Something went wrong updating the order address."
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.",该代金券代码已被使用。
"New Order",新订单
"The order no longer exists.","The order no longer exists."
"Cannot create credit memo for the order.","Cannot create credit memo for the order."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"Cannot update the item's quantity.","Cannot update the item's quantity."
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"Cannot save the credit memo.","Cannot save the credit memo."
"The credit memo has been canceled.","The credit memo has been canceled."
"You canceled the credit memo.","You canceled the credit memo."
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The Comment Text field cannot be empty.","The Comment Text field cannot be empty."
"Cannot add new comment.","Cannot add new comment."
"Edit Order","Edit Order"
"The invoice no longer exists.","The invoice no longer exists."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"New Invoice",新发票
"Cannot update item quantity.","Cannot update item quantity."
"The invoice and the shipment  have been created. ' 'The shipping label cannot be created now.","The invoice and the shipment  have been created. ' 'The shipping label cannot be created now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email.","We can't send the invoice email."
"We can't send the shipment.","We can't send the shipment."
"We can't save the invoice.","We can't save the invoice."
"The invoice has been captured.","The invoice has been captured."
"Invoice capturing error","Invoice capturing error"
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"Create New Order Status",创建新订单状态
"We can't find this order status.","We can't find this order status."
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You have saved the order status.","You have saved the order status."
"We couldn't add your order status because something went wrong saving.","We couldn't add your order status because something went wrong saving."
"You have assigned the order status.","You have assigned the order status."
"An error occurred while assigning order status. Status has not been assigned.",分配订单状态时发生错误。状态未被分配。
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while we were unassigning the order.","Something went wrong while we were unassigning the order."
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"The gift message has been saved.","The gift message has been saved."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns",订单与退货
"This item price or quantity is not valid for checkout.","This item price or quantity is not valid for checkout."
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We couldn't find this wish list.","We couldn't find this wish list."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Shipping Address: "
"Billing Address: ","Billing Address: "
"You need to specify order items.","You need to specify order items."
"You need to specify a shipping method.","You need to specify a shipping method."
"A payment method must be specified.","A payment method must be specified."
"This payment method instance is not available.","This payment method instance is not available."
"This payment method is not available.","This payment method is not available."
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","We cannot cancel this order."
"The most money available to refund is %1.","The most money available to refund is %1."
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"Unknown State",未知州
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"We cannot register an existing invoice","We cannot register an existing invoice"
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"Unknown Status",位置状态
Backordered,延期
Partial,部分
Mixed,混合
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"An order with subscription items was registered.","An order with subscription items was registered."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Registered a Void notification.",注册的撤销通知。
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2""","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"""
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.",已在线审核支付。
"There is no need to approve this payment.",无需审核该支付。
"Registered notification about approved payment.",注册的有关已审批支付的通知。
"Denied the payment online","Denied the payment online"
"There is no need to deny this payment.",无需拒绝该支付。
"Registered notification about denied payment.",注册的有关拒绝支付的通知。
"Registered update about approved payment.",注册的有关已审批支付的更新。
"Registered update about denied payment.",注册的有关拒绝支付的更新。
"There is no update for the payment.",该支付无更新。
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Authorized amount of %1","Authorized amount of %1"
"Voided authorization.",无效的认证。
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Transaction ID: ""%1"""
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed",不允许对已存在的交易设置订单
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment object.","Please set a proper payment object."
"The Transaction ID field cannot be empty.","The Transaction ID field cannot be empty."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Shipping Method:",送货方法：
"Total Shipping Charges",总运费
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Total (ex)","总计 (ex)"
"Total (inc)",总数（含）
"Credit Memo # ","Credit Memo # "
"Invoice # ","Invoice # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Packing Slip # ","包裹清单 #"
"We cannot register an existing shipment","We cannot register an existing shipment"
"We cannot create an empty shipment.","We cannot create an empty shipment."
"We found an invalid qty to ship for item ""%1"".","We found an invalid qty to ship for item ""%1""."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"Sorry, but items with payment agreements must be ordered one at a time To continue, please remove or buy the other items in your cart, then order this item by itself.","Sorry, but items with payment agreements must be ordered one at a time To continue, please remove or buy the other items in your cart, then order this item by itself."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"This is the wrong quote item id to update configuration.","This is the wrong quote item id to update configuration."
"This shipping method is not available. To use this shipping method, please contact us.","This shipping method is not available. To use this shipping method, please contact us."
"The address model is not defined.","The address model is not defined."
"The address total model should be extended from \Magento\Sales\Model\Quote\Address\Total\AbstractTotal.","地址总模块应扩展自\Magento\Sales\Model\Quote\Address\Total\AbstractTotal。"
"Subscription Items","Subscription Items"
"Regular Payment",正常支付
"Shipping & Handling (%1)","Shipping & Handling (%1)"
"We found an invalid item option format.","We found an invalid item option format."
"Item qty declaration error","Item qty declaration error"
"Some of the products below do not have all the required options.","Some of the products below do not have all the required options."
"Something went wrong during the item options declaration.","Something went wrong during the item options declaration."
"We found an item options declaration error.","We found an item options declaration error."
"Some of the selected options are not currently available.","Some of the selected options are not currently available."
"Selected option(s) or their combination is not currently available.","Selected option(s) or their combination is not currently available."
"Some item options or their combination are not currently available.","Some item options or their combination are not currently available."
"The requested Payment Method is not available.",请求的支付方式不可用。
"We cannot determine the field name.","We cannot determine the field name."
"Please specify a valid grid column alias name that exists in the grid table.","Please specify a valid grid column alias name that exists in the grid table."
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Please check the shipping address information. %1","Please check the shipping address information. %1"
"Please specify a shipping method.",请指定一个配送方法。
"Please check the billing address information. %1","Please check the billing address information. %1"
"Please select a valid payment method.",请选择有效的支付方式。
"Pending Payment",挂起的支付
"On Hold",暂挂
Complete,完成
"Suspected Fraud",欺诈嫌疑
"Payment Review",支付预览
"Changing address information will not recalculate shipping, tax or other order amount.",更改地址信息不会导致重新计算发货、税金，或其他金额。
"Order Comments",订单评论
"Order Currency:",订单币种：
"Select from existing customer addresses:",从现有客户地址选择：
"Same As Billing Address",与账单地址相同
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order",整个订单的礼品信息
"Move to Shopping Cart",移动到购物车
"Subscribe to Newsletter",订阅到新闻通讯
"Click to change shipping method",点击更改送货方法
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates",获得发货方法和费率
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Append Comments",附加评论
"Email Order Confirmation",订单确认用邮件发送
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"The order was placed using %1.","The order was placed using %1."
"Items to Refund",要退货的商品
"Return to Stock",返回库存
"Qty to Refund",要退款的数量
"Row Total",总行数
"No Items To Refund",无可退款项目
"Credit Memo Comments",信用记录评论
"Refund Totals",退款总数
"Email Copy of Credit Memo",信用记录副本用邮件发送
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded",商品已退款
"No Items",无项目
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Create Shipment",创建运单
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"Qty to Invoice",发票数量
"Invoice History","Invoice History"
"Invoice Comments",发票评论
"Invoice Totals","Invoice Totals"
"Capture Amount",获取额度
"Capture Online",在线获取
"Capture Offline",离线获取
"Not Capture",无获取
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice",发票副本用邮件发送
"Items Invoiced",商品移开发票
"Total Tax",总税款
"From Name",通过名称
"To Name",到名称
"Add Order Comments",添加订单评论
"Notification Not Applicable",通知不可用
"the order confirmation email was sent",订单确认电子邮件已发送
"the order confirmation email is not sent",订单确认电子邮件未发送
"Order Date (%1)","Order Date (%1)"
"Purchased From",购买自
"Link to the New Order",链接到新订单
"Link to the Previous Order",连接到前一订单
"Placed from IP",下单用的IP
"%1 / %2 rate:","%1 / %2 rate:"
"Item Status",商品状态
"Original Price",原始价格
"Tax Percent",税率
"Transaction Data","Transaction Data"
"Parent Transaction ID",父交易ID
"Transaction Type",交易类型
"Is Closed","Is Closed"
"Child Transactions","Child Transactions"
"Transaction Details","Transaction Details"
"Gift Message for this Order",该订单的礼品信息
"Shipped By",送货方
"Tracking Number",追踪编号
"Billing Last Name",按姓氏记账
"Find Order By:",订单查找条件：
"ZIP Code","ZIP Code"
"Billing ZIP Code",按邮编记账
"Print All Refunds",打印所有退款
"Refund #","退款 #"
"Print Refund",打印退款
"You have placed no orders.",您没有下订单。
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"No shipping information available",无可用发货信息
"Print Order",打印订单
"Subscribe to Order Status",订阅订单状态
"Print All Invoices",打印所有发票
"Invoice #","发票 #"
"Print Invoice",打印发票
"Qty Invoiced",已开发票数量
"Refund #%1","Refund #%1"
"Invoice #%1","Invoice #%1"
"Shipment #%1","Shipment #%1"
"Items Shipped",商品已发货
"Qty Shipped",已发货数量
"View All",查看全部
"Gift Message for This Order",该订单的礼品信息
"About Your Order",关于您的订单
"Shipment Comments","Shipment Comments"
"Gift Options for ","Gift Options for "
Ok,Ok
"Anchor Custom Title",自定义标题锚点
Phone,Phone
"Default Template",默认模板
"Minimum Order Amount","Minimum Order Amount"
Comma-separated,Comma-separated
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    "
"Logo for HTML Print View","Logo for HTML Print View"
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    "
"Minimum Amount","Minimum Amount"
"Subtotal after discount","Subtotal after discount"
"Description Message","Description Message"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Multi-address Description Message","Multi-address Description Message"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Sales Emails","Sales Emails"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"Send Order Email Copy To","Send Order Email Copy To"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Send Order Comments Email Copy Method"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Send Invoice Comment Email Copy To","Send Invoice Comment Email Copy To"
"Send Invoice Comments Email Copy Method","Send Invoice Comments Email Copy Method"
Shipment,发货
"Shipment Email Sender","Shipment Email Sender"
"Shipment Email Template","Shipment Email Template"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Send Shipment Email Copy To","Send Shipment Email Copy To"
"Send Shipment Email Copy Method","Send Shipment Email Copy Method"
"Shipment Comment Email Sender","Shipment Comment Email Sender"
"Shipment Comment Email Template","Shipment Comment Email Template"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Send Shipment Comment Email Copy To","Send Shipment Comment Email Copy To"
"Send Shipment Comments Email Copy Method","Send Shipment Comments Email Copy Method"
"Credit Memo Email Sender","Credit Memo Email Sender"
"Credit Memo Email Template","Credit Memo Email Template"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
