Remove,weghalen
"Refund Shipping","Terugbetaling Verzendkosten"
"Update Qty's","Aantal(en) bijwerken"
Refund,Terugbetaling
"Refund Offline","Offline restitutie"
"Paid Amount","Betaald bedrag"
"Refund Amount","Terugbetaling Bedrag"
"Shipping Refund","Terugbetaling Verzendkosten"
"Order Grand Total","Algemeen totaal van de Bestelling"
"Adjustment Refund",Aanpassingsbetaling
"Adjustment Fee",Aanpassingstoeslag
"Send Email","Stuur E-mail"
"Are you sure you want to send a Credit memo email to customer?","Are you sure you want to send a Credit memo email to customer?"
"The credit memo email was sent","The credit memo email was sent"
"the credit memo email is not sent","De creditnota e-mail is niet verzonden"
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Totaal restitutie"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Factuur en verzending indienen"
"Submit Invoice","Factuur indienen"
"Are you sure you want to send an Invoice email to customer?","Are you sure you want to send an Invoice email to customer?"
"Credit Memo",Credietmemo
Capture,Vastleggen
"the invoice email was sent","De factureringsmail is verzonden"
"the invoice email is not sent","De factureringsmail is niet verzonden"
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Order Statuses","Bestelling Statussen"
"Create New Status","Stel een Nieuwe Status in"
"Assign Status to State","Zet Status als Staat"
"Save Status Assignment","Opdracht status opslaan"
"Assign Order Status to State","Zet Orderstatus als Staat"
"Assignment Information","Opdracht Informatie"
"Order State","Status Bestelling"
"Use Order Status As Default","Gebruik Order Status Als Standaard"
"Visible On Frontend","Visible On Frontend"
"Edit Order Status","Verander Orderstatus"
"Save Status","Status opslaan"
"New Order Status","Nieuwe Status van de Bestelling"
"Order Status Information","Bestelling Status Informatie"
"Status Code","Code status"
"Status Label","Label status"
"Store View Specific Labels","Winkel toon specifieke labels"
"Total Paid","Totaal Betaald"
"Total Due","Totaalbedrag verwacht"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Weet u zeker dat u de betaling wilt leegmaken?"
Hold,"In de wacht"
hold,hold
Unhold,Vrijgeven
unhold,unhold
"Are you sure you want to accept this payment?","Weet u zeker dat u deze betaling wilt accepteren?"
"Accept Payment","Accepteer betaling"
"Are you sure you want to deny this payment?","Weet u zeker dat u deze betaling wilt weigeren?"
"Deny Payment","Weiger betaling"
"Get Payment Update","Verkrijg betalings-update"
"Invoice and Ship","Factureer en verzend"
Invoice,Factuur
Ship,Verstuur
Reorder,Nabestelling
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Save Gift Message"
"Order Credit Memos","Kredietmemo's bestelling"
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Shipment #%1 created"
"Shipment #%1 comment added","Shipment #%1 comment added"
"Invoice #%1 created","Invoice #%1 created"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History",Commentaargeschiedenis
"Order History","Geschiedenis van de Bestelling"
"Order Information","Informatie over de Bestelling"
"Order Invoices","Facturen bestelling"
Shipments,Zendingen
"Order Shipments","Verzendingen van de Bestelling"
Transactions,Transacties
"Order View","Kijk naar de bestelling"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Show Actual Values","Show Actual Values"
Fetch,Halen
"Transaction # %1 | %2","Transaction # %1 | %2"
Key,sleutel
Value,Waarde
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Order # %1"
"Back to My Orders","Terug naar Mijn Bestellingen"
"View Another Order","Andere bestelling bekijken"
"About Your Refund","Over Uw Terugbetaling"
"My Orders","Mijn Bestellingen"
"About Your Invoice","Over Uw Factuur"
"Print Order # %1","Print Order # %1"
"Grand Total to be Charged","Totaalbedrag dat zal worden gefactureerd"
Unassign,"Wijs niet toe"
"We sent the message.","We sent the message."
"This order no longer exists.","Deze bestelling bestaat niet meer."
"Exception occurred during order load","Exception occurred during order load"
"You sent the order email.","You sent the order email."
"We couldn't send the email order.","We couldn't send the email order."
"You canceled the order.","You canceled the order."
"You have not canceled the item.","You have not canceled the item."
"You put the order on hold.","You put the order on hold."
"You have not put the order on hold.","You have not put the order on hold."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"The payment has been accepted.","De betaling is geaccepteerd."
"The payment has been denied.","De betaling is geweigerd"
"The payment update has been made.","The payment update has been made."
"Comment text cannot be empty.","Comment text cannot be empty."
"We cannot add order history.","We cannot add order history."
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","Er zijn geen beselling(en) uitgesteld."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","Er zijn geen printbare documenten gerelateerd aan de geselecteerde bestellingen."
"The payment has been voided.","De betaling is leeggemaakt."
"We couldn't void the payment.","We couldn't void the payment."
"You updated the order address.","You updated the order address."
"Something went wrong updating the order address.","Something went wrong updating the order address."
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","De kortingsboncode is geaccepteerd."
"New Order","Nieuwe bestelling"
"The order no longer exists.","The order no longer exists."
"Cannot create credit memo for the order.","Cannot create credit memo for the order."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"Cannot update the item's quantity.","Cannot update the item's quantity."
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"Cannot save the credit memo.","Cannot save the credit memo."
"The credit memo has been canceled.","The credit memo has been canceled."
"You canceled the credit memo.","You canceled the credit memo."
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The Comment Text field cannot be empty.","The Comment Text field cannot be empty."
"Cannot add new comment.","Cannot add new comment."
"Edit Order","Edit Order"
"The invoice no longer exists.","The invoice no longer exists."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"New Invoice","Nieuwe Factuur"
"Cannot update item quantity.","Cannot update item quantity."
"The invoice and the shipment  have been created. ' 'The shipping label cannot be created now.","The invoice and the shipment  have been created. ' 'The shipping label cannot be created now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email.","We can't send the invoice email."
"We can't send the shipment.","We can't send the shipment."
"We can't save the invoice.","We can't save the invoice."
"The invoice has been captured.","The invoice has been captured."
"Invoice capturing error","Invoice capturing error"
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"Create New Order Status","Maak een Nieuwe Orderstatus"
"We can't find this order status.","We can't find this order status."
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You have saved the order status.","You have saved the order status."
"We couldn't add your order status because something went wrong saving.","We couldn't add your order status because something went wrong saving."
"You have assigned the order status.","You have assigned the order status."
"An error occurred while assigning order status. Status has not been assigned.","Er is een fout opgetreden tijdens het toewijzen van uw orderstatus. Status is niet toegewezen."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while we were unassigning the order.","Something went wrong while we were unassigning the order."
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"The gift message has been saved.","The gift message has been saved."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Bestellingen en Teruggaven"
"This item price or quantity is not valid for checkout.","This item price or quantity is not valid for checkout."
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We couldn't find this wish list.","We couldn't find this wish list."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Shipping Address: "
"Billing Address: ","Billing Address: "
"You need to specify order items.","You need to specify order items."
"You need to specify a shipping method.","You need to specify a shipping method."
"A payment method must be specified.","A payment method must be specified."
"This payment method instance is not available.","This payment method instance is not available."
"This payment method is not available.","This payment method is not available."
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","We cannot cancel this order."
"The most money available to refund is %1.","The most money available to refund is %1."
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"Unknown State","Onbekende Staat"
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"We cannot register an existing invoice","We cannot register an existing invoice"
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"Unknown Status","Onbekende Status"
Backordered,Nabesteld
Partial,Gedeeltelijke
Mixed,Gemengd
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"An order with subscription items was registered.","An order with subscription items was registered."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Registered a Void notification.","Geregistreerd als Leeg bericht."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2""","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"""
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","De betaling is online goedgekeurd"
"There is no need to approve this payment.","Er is geen nood om deze betaling te accepteren."
"Registered notification about approved payment.","Notificatie over goedgekeurde betaling is opgeslagen."
"Denied the payment online","Denied the payment online"
"There is no need to deny this payment.","Het is niet nodig om deze betaling te weigeren."
"Registered notification about denied payment.","Geregistreerde mededeling over geweigerde betaling."
"Registered update about approved payment.","Geregistreerde bijwerking over goedgekeurde betaling."
"Registered update about denied payment.","Update over geweigerde betaling."
"There is no update for the payment.","Er is geen update voor de betaling."
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Authorized amount of %1","Authorized amount of %1"
"Voided authorization.","Nietig verklaarde autorisatie."
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Transaction ID: ""%1"""
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Volgorde voor bestaande transactie niet toegestaan"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment object.","Please set a proper payment object."
"The Transaction ID field cannot be empty.","The Transaction ID field cannot be empty."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Shipping Method:",Verzendmethode:
"Total Shipping Charges","Totaal Verzendkosten"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Total (ex)","Totaal (ex)"
"Total (inc)","Totaalbedrag (incl.)"
"Credit Memo # ","Credit Memo # "
"Invoice # ","Invoice # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Packing Slip # ","Packing Slip #"
"We cannot register an existing shipment","We cannot register an existing shipment"
"We cannot create an empty shipment.","We cannot create an empty shipment."
"We found an invalid qty to ship for item ""%1"".","We found an invalid qty to ship for item ""%1""."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"We cannot determine the field name.","We cannot determine the field name."
"Please specify a valid grid column alias name that exists in the grid table.","Please specify a valid grid column alias name that exists in the grid table."
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Pending Payment","In afwachting van betaling"
"On Hold","In de wacht"
Complete,Gereed
"Suspected Fraud","Verdacht tot fraude"
"Payment Review","Betalings Review"
"Changing address information will not recalculate shipping, tax or other order amount.","Bij het veranderen van adres informatie worden de verzendkosten, belastingskosten of andere bestellings hoeveelheden niet aangepast."
"Order Comments","Opmerkingen over de Bestellingen"
"Order Currency:","Valuta van de bestelling:"
"Select from existing customer addresses:","Selecteer van bestaande klantadressen:"
"Same As Billing Address","Zelfde als Factuuradres"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Cadeauboodschap voor de gehele bestelling"
"Move to Shopping Cart","Verplaats naar Winkelwagen"
"Subscribe to Newsletter","Inschrijven voor nieuwsbrief"
"Click to change shipping method","Klik om verzendwijze te wijzigen"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Verkrijg verzendmethodes en verhoudingen"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Append Comments","Voeg commentaar toe"
"Email Order Confirmation","Bevestiging van bestelling emailen"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"The order was placed using %1.","The order was placed using %1."
"Items to Refund","items om te retourneren"
"Return to Stock","Keer terug naar Voorraad"
"Qty to Refund","Aantal om restitutie te geven"
"Row Total","Rij Totaal"
"No Items To Refund","Geen items om te retourneren."
"Credit Memo Comments","Credietmemo commentaar"
"Refund Totals","Totale Terugbetalingen"
"Email Copy of Credit Memo","E-mail een kopie van de credietmemo"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","items geretourneerd"
"No Items","Geen items"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Create Shipment","Maak verzending aan"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"Qty to Invoice","Aantal op Factuur"
"Invoice History","Invoice History"
"Invoice Comments",Factuurcommentaar
"Invoice Totals","Invoice Totals"
"Capture Amount","Vastleggen Bedrag"
"Capture Online","Online Vastleggen"
"Capture Offline","Offline Vastleggen"
"Not Capture","Niet vastleggen"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Kopie van factuur emailen"
"Items Invoiced","items gefactureerd"
"Total Tax","Totale Belasting"
"From Name","Vanaf naam"
"To Name","Te benoemen"
"Add Order Comments","Voeg bestelcommentaar toe"
"Notification Not Applicable","Kennisgeving Niet van Toepassing"
"the order confirmation email was sent","De bestellingsbevestiging-mail is verzonden"
"the order confirmation email is not sent","De bestellingsbevestiging-mail is niet verzonden"
"Order Date (%1)","Order Date (%1)"
"Purchased From","Gekocht Van"
"Link to the New Order","link naar de nieuwe bestelling"
"Link to the Previous Order","link naar de vorige bestelling"
"Placed from IP","Geplaatst van IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Item Status","Artikel Status"
"Original Price","Originele prijs"
"Tax Percent",Belastingspercentage
"Transaction Data","Transaction Data"
"Parent Transaction ID","Ouder transactie ID"
"Transaction Type","Type transactie"
"Is Closed","Is Closed"
"Child Transactions","Child Transactions"
"Transaction Details","Transaction Details"
"Gift Message for this Order","Cadeau bericht voor deze Order"
"Shipped By","Verzonden door"
"Tracking Number",Volgnummer
"Billing Last Name","Rekening Achternaam"
"Find Order By:","Vind een bestelling door:"
"ZIP Code","ZIP Code"
"Billing ZIP Code","Postcode betaling"
"Print All Refunds","Print Alle restituties"
"Refund #","Terugbetaling #"
"Print Refund","Print Refund"
"You have placed no orders.","U heeft geen bestellingen geplaatst."
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"No shipping information available","Er is geen verzendinformatie beschikbaar"
"Print Order","Print Order"
"Subscribe to Order Status","Abonneren op Status van bestelling"
"Print All Invoices","Alle facturen printen"
"Invoice #","Factuur #"
"Print Invoice","Print Factuur"
"Qty Invoiced","Aantal Gefactureerd"
"Refund #%1","Refund #%1"
"Invoice #%1","Invoice #%1"
"Shipment #%1","Shipment #%1"
"Items Shipped","Verzonden artikelen"
"Qty Shipped","Aantal verzonden"
"View All","Bekijk Alles"
"Gift Message for This Order","Cadeau-bericht voor deze bestelling"
"About Your Order","Over uw bestelling"
"Shipment Comments","Shipment Comments"
"Gift Options for ","Gift Options for "
Ok,Ok
"Anchor Custom Title","Anker Custom Titel"
Phone,Phone
"Default Template","Vaststaand Sjabloon"
"Minimum Order Amount","Minimum Order Amount"
Comma-separated,Comma-separated
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    "
"Logo for HTML Print View","Logo for HTML Print View"
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    "
"Minimum Amount","Minimum Amount"
"Subtotal after discount","Subtotal after discount"
"Description Message","Description Message"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Multi-address Description Message","Multi-address Description Message"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Sales Emails","Sales Emails"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"Send Order Email Copy To","Send Order Email Copy To"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
