Remove,Remover
"Clear Shopping Cart","Limpar Carrinho de Compras"
City,Cidade
"Zip/Postal Code","Zip/Código Postal"
"Email Address","Endereço de e-mail"
Company,Companhia
Address,Address
"Street Address","Endereço da Rua"
Telephone,Telefone
"Save in address book","Salvar no catálogo de endereços"
Continue,Continue
"Order #","Order #"
"No Payment Methods","Nenhuma Forma de Pagamento"
"Billing Address","Endereço de faturamento"
"Shipping Address","Endereço de Envio"
"Payment Method","Nome do método de pagamento"
Sales,Vendas
Created,"Criada Em"
Select,Selecione
Comment,Comentário
%1,%1
Date,Data
"Add New Address","Adicionar Novo Endereço"
"Purchase Date","Purchase Date"
"Bill-to Name","Faturar para Nome"
"Ship-to Name","Enviar em nome de"
"Order Total","Total do Pedido"
"Purchase Point","Comprado de (Loja)"
"Recent Orders","Pedidos Recentes"
Notified,Notificado
"Notify Customer by Email","Notificar cliente por e-mail"
Billing,Faturamento
"Newsletter Subscription","Assinatura do boletim informativo"
"Order Status","Status do pedido"
"Wish List","Wish List"
Pending,Pendente
"View Order","Ver Solicitação"
Amount,Valor
Message,Mensagem
Information,Informações
"Gift Options","Opções de presente"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
New,Novo
"Custom Price","Preço Aduaneiro"
Processing,Processando
"Add To Order","Adicionar ao Pedido"
"Configure and Add to Order","Configurar e adicionar ao pedido"
"No items","Nenhum item"
Authorization,Autorização
"Ordered amount of %1","Ordered amount of %1"
"Payment transactions disallow storing objects.","Transações de pagamento não permitem armazenar objetos."
"Transaction ID","ID da Transação"
"Order ID","ID da Ordem"
Void,Anular
"Created At","Created At"
"Payment Method:","Método de pagamento"
"Ship To","Enviar para"
"Invalid parent block for this block","Invalid parent block for this block"
"Grand Total (Base)","Total Geral (Moeda-Base)"
"Grand Total (Purchased)","Total Geral (Moeda da Compra)"
"Customer Name","Customer Name"
"We couldn't update the payment.","We couldn't update the payment."
"Shopping Cart Price Rule","Shopping Cart Price Rule"
CSV,CSV
"Excel XML","Excel XML"
"Total Refunded","Total Reembolsado"
Paid,Pago
Coupons,Cupons
"Recently Viewed","Recentemente Visto"
"Recently Compared Products","Produtos Recentemente Comparados"
"Recently Viewed Products","Produtos Recentemente Vistos"
Print,Imprimir
"Submit Comment","Enviar Comentário"
Returned,Retornado
"Order Date","Data do pedido"
"Order # ","Order # "
"Order Date: ","Data do pedido:"
"Comment Text","Texto do comentário"
"Visible on Frontend","Visível no Frontend"
"Not Notified","Não notificado"
"Please select products.","Please select products."
Number,Número
"Order Date: %1","Order Date: %1"
"Shipping &amp; Handling","Transporte &amp; Manuseio"
"Credit Memos","Notas de Crédito"
Invoices,Faturas
"We cannot get the order instance.","We cannot get the order instance."
"Create New Order","Criar novo pedido"
"Save Order Address","Salvar Endereço do Pedido"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Informação de endereço do pedido"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Order","Enviar Pedido"
"Are you sure you want to cancel this order?","Tem certeza de que deseja cancelar esta ordem?"
"Order Comment","Comentário do pedido"
"Please select a customer.","Please select a customer."
"Create New Customer","Criar novo cliente"
"Edit Order #%1","Edit Order #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Criar novo pedido para novo cliente"
"Items Ordered","Itens pedidos"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Quantidade solicitada do item"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Insira preço personalizado com imposto"
"* - Enter custom price excluding tax","* - Insira preço personalizado sem imposto"
"This product does not have any configurable options","Este produto não tem quaisquer opções configuráveis"
"Add Selected Product(s) to Order","Adicionar Produto(s) Selecionado ao Pedido"
"Update Changes","Atualizar alterações"
"Are you sure you want to delete all items from shopping cart?","Você tem certeza que quer excluir todos os itens do carrinho de compras?"
"Products in Comparison List","Produtos na Lista de Comparação"
"Last Ordered Items","Últimos itens pedidos"
"Please select a store.","Please select a store."
"Order Totals","Totais da Ordem"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Reembolso do Envio (Imp. Incl.)"
"Refund Shipping (Excl. Tax)","Reembolso do Envio (Imp. Excl.)"
"Refund Shipping","Reembolso do Envio"
"Update Qty's","Atualizar qtde."
Refund,Reembolso
"Refund Offline","Reembolso Offline"
"Paid Amount","Valor pago"
"Refund Amount","Valor do Reembolso"
"Shipping Refund","Reembolso da entrega"
"Order Grand Total","Total geral do pedido"
"Adjustment Refund","Restituição de ajustamento"
"Adjustment Fee","Taxa de ajustamento"
"Send Email","Enviar email"
"Are you sure you want to send a Credit memo email to customer?","Are you sure you want to send a Credit memo email to customer?"
"The credit memo email was sent","The credit memo email was sent"
"the credit memo email is not sent","o email de aviso de crédito não foi enviado"
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Total do Reembolso"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Enviar fatura e remessa"
"Submit Invoice","Enviar fatura"
"Are you sure you want to send an Invoice email to customer?","Are you sure you want to send an Invoice email to customer?"
"Credit Memo","Criar Memorando"
Capture,Captura
"the invoice email was sent","o email de fatura não foi enviado"
"the invoice email is not sent","o email de fatura não é enviado"
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Order Statuses","Estados Atuais de Pedidos"
"Create New Status","Criar novo status"
"Assign Status to State","Atribuir Status para o Estado"
"Save Status Assignment","Salvar atribuição de status"
"Assign Order Status to State","Atribuir Status do Pedido para o Estado"
"Assignment Information","Informação de Atribuição"
"Order State","Situação do pedido"
"Use Order Status As Default","Usar status do pedido como padrão"
"Visible On Frontend","Visible On Frontend"
"Edit Order Status","Editar Status da Ordem (Pedido)"
"Save Status","Salvar status"
"New Order Status","Status do Novo Pedido"
"Order Status Information","Informação do status do pedido"
"Status Code","Código do status"
"Status Label","Etiqueta de status"
"Store View Specific Labels","Vista das Marcas Específicas da Loja"
"Total Paid","Total Pago"
"Total Due","Total Devido"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Tem certeza de que deseja cancelar o pagamento?"
Hold,Suspender
hold,hold
Unhold,Liberar
unhold,unhold
"Are you sure you want to accept this payment?","Tem certeza de que deseja aceitar este pagamento?"
"Accept Payment","Pagamento Aceito"
"Are you sure you want to deny this payment?","Tem certeza que quer negar este pagamento?"
"Deny Payment","Recusar o Pagamento"
"Get Payment Update","Obter Atualização de Pagamento"
"Invoice and Ship","Fatura e Frete"
Invoice,Fatura
Ship,Envio
Reorder,Rearranjar
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Save Gift Message"
"Order Credit Memos","Aviso de crédito do pedido"
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Shipment #%1 created"
"Shipment #%1 comment added","Shipment #%1 comment added"
"Invoice #%1 created","Invoice #%1 created"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History","Histórico de comentários"
"Order History","Histórico do pedido"
"Order Information","Informação do pedido"
"Order Invoices","Faturas do pedido"
Shipments,Envios
"Order Shipments","Remessas de pedidos"
Transactions,Transações
"Order View","Visualizar Pedido"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Show Actual Values","Show Actual Values"
Fetch,Buscar
"Transaction # %1 | %2","Transaction # %1 | %2"
Key,Senha
Value,Valor
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Order # %1"
"Back to My Orders","Voltar para Minhas Compras"
"View Another Order","Visualizar outro pedido"
"About Your Refund","Sobre Sua Restituição"
"My Orders","Meus Pedidos"
"About Your Invoice","Sobre Sua Fatura"
"Print Order # %1","Print Order # %1"
"Grand Total to be Charged","Total a ser Cobrado"
Unassign,Desconsiderar
"We sent the message.","We sent the message."
"This order no longer exists.","Esta ordem não existe mais."
"Exception occurred during order load","Exception occurred during order load"
"You sent the order email.","You sent the order email."
"We couldn't send the email order.","We couldn't send the email order."
"You canceled the order.","You canceled the order."
"You have not canceled the item.","You have not canceled the item."
"You put the order on hold.","You put the order on hold."
"You have not put the order on hold.","You have not put the order on hold."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"The payment has been accepted.","O pagamento foi aceite."
"The payment has been denied.","O pagamento foi negado."
"The payment update has been made.","The payment update has been made."
"Comment text cannot be empty.","Comment text cannot be empty."
"We cannot add order history.","We cannot add order history."
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","Nenhum pedido suspenso temporariamente."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","Não existem documentos imprimíveis relacionados com as ordens selecionadas."
"The payment has been voided.","O pagamento foi declarado nulo."
"We couldn't void the payment.","We couldn't void the payment."
"You updated the order address.","You updated the order address."
"Something went wrong updating the order address.","Something went wrong updating the order address."
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","O código do cupão foi aceite."
"New Order","Novo Pedido"
"The order no longer exists.","The order no longer exists."
"Cannot create credit memo for the order.","Cannot create credit memo for the order."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"Cannot update the item's quantity.","Cannot update the item's quantity."
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"Cannot save the credit memo.","Cannot save the credit memo."
"The credit memo has been canceled.","The credit memo has been canceled."
"You canceled the credit memo.","You canceled the credit memo."
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The Comment Text field cannot be empty.","The Comment Text field cannot be empty."
"Cannot add new comment.","Cannot add new comment."
"Edit Order","Edit Order"
"The invoice no longer exists.","The invoice no longer exists."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"New Invoice","Nova Fatura"
"Cannot update item quantity.","Cannot update item quantity."
"The invoice and the shipment  have been created. ' 'The shipping label cannot be created now.","The invoice and the shipment  have been created. ' 'The shipping label cannot be created now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email.","We can't send the invoice email."
"We can't send the shipment.","We can't send the shipment."
"We can't save the invoice.","We can't save the invoice."
"The invoice has been captured.","The invoice has been captured."
"Invoice capturing error","Invoice capturing error"
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"Create New Order Status","Criar novo status de pedido"
"We can't find this order status.","We can't find this order status."
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You have saved the order status.","You have saved the order status."
"We couldn't add your order status because something went wrong saving.","We couldn't add your order status because something went wrong saving."
"You have assigned the order status.","You have assigned the order status."
"An error occurred while assigning order status. Status has not been assigned.","Ocorreu um erro ao atribuir status da ordem. Status não foi atribuído."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while we were unassigning the order.","Something went wrong while we were unassigning the order."
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"The gift message has been saved.","The gift message has been saved."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Pedidos e Devoluções"
"This item price or quantity is not valid for checkout.","This item price or quantity is not valid for checkout."
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We couldn't find this wish list.","We couldn't find this wish list."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Shipping Address: "
"Billing Address: ","Billing Address: "
"You need to specify order items.","You need to specify order items."
"You need to specify a shipping method.","You need to specify a shipping method."
"A payment method must be specified.","A payment method must be specified."
"This payment method instance is not available.","This payment method instance is not available."
"This payment method is not available.","This payment method is not available."
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","We cannot cancel this order."
"The most money available to refund is %1.","The most money available to refund is %1."
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"Unknown State","Estado desconhecido"
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"We cannot register an existing invoice","We cannot register an existing invoice"
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"Unknown Status","Status desconhecido"
Backordered,Pendente
Partial,Parcial
Mixed,Misto
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"An order with subscription items was registered.","An order with subscription items was registered."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Registered a Void notification.","Registrada uma notificação Void."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2""","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"""
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","Aprovou o pagamento on-line."
"There is no need to approve this payment.","Não há necessidade de aprovar esse pagamento."
"Registered notification about approved payment.","Notificação registrada sobre pagamento aprovado"
"Denied the payment online","Denied the payment online"
"There is no need to deny this payment.","Não há necessidade de negar esse pagamento."
"Registered notification about denied payment.","Aviso sobre pagamento recusado registrado."
"Registered update about approved payment.","Atualização registrada sobre pagamento aprovado"
"Registered update about denied payment.","Atualização registrada sobre pagamento recusado."
"There is no update for the payment.","Não há nenhuma atualização para o pagamento."
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Authorized amount of %1","Authorized amount of %1"
"Voided authorization.","Autorização anulada."
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Transaction ID: ""%1"""
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Definir ordem de transações não permitidas existentes"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment object.","Please set a proper payment object."
"The Transaction ID field cannot be empty.","The Transaction ID field cannot be empty."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Shipping Method:","Método de Envio:"
"Total Shipping Charges","Total dos Gastos de Envio"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Total (ex)","Total (ex)"
"Total (inc)","Total (inc)"
"Credit Memo # ","Credit Memo # "
"Invoice # ","Invoice # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Packing Slip # ","Guia de remessa nº"
"We cannot register an existing shipment","We cannot register an existing shipment"
"We cannot create an empty shipment.","We cannot create an empty shipment."
"We found an invalid qty to ship for item ""%1"".","We found an invalid qty to ship for item ""%1""."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"We cannot determine the field name.","We cannot determine the field name."
"Please specify a valid grid column alias name that exists in the grid table.","Please specify a valid grid column alias name that exists in the grid table."
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Pending Payment","Pagamento Pendente"
"On Hold","Em espera"
Complete,Completar
"Suspected Fraud","Suspeita de Fraude"
"Payment Review","Revisão do pagamento"
"Changing address information will not recalculate shipping, tax or other order amount.","Mudança de informações de endereço não recalculará o transporte, taxa ou outro valor do pedido."
"Order Comments","Comentários do pedido"
"Order Currency:","Moeda do pedido:"
"Select from existing customer addresses:","Selecionar um endereço de cliente existente"
"Same As Billing Address","Mesmo endereço que o de cobrança"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Mensagem de Presente para o Pedido Completo"
"Move to Shopping Cart","Mover para Carrinho de Compras"
"Subscribe to Newsletter","Assinar o Boletim Informativo"
"Click to change shipping method","Clique para alterar método de remessa"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Obter tipos e taxas de frete"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Append Comments","Anexar Comentários"
"Email Order Confirmation","Enviar EMail da Confirmação da Ordem (Pedido)"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"The order was placed using %1.","The order was placed using %1."
"Items to Refund","Itens para reembolso"
"Return to Stock","Retornar ao Estoque"
"Qty to Refund","Quant. para reembolso"
"Row Total","Total de Linha"
"No Items To Refund","Nenhum Item para Reembolso"
"Credit Memo Comments","Criar Comentários de Memorando"
"Refund Totals","Totais de Reembolso"
"Email Copy of Credit Memo","Enviar Email Cópia da Nota de Crédito"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Itens reembolsados"
"No Items","Nenhum Item"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Create Shipment","Criar Frete"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"Qty to Invoice","Qtde para Fatura"
"Invoice History","Invoice History"
"Invoice Comments","Comentários sobre Fatura"
"Invoice Totals","Invoice Totals"
"Capture Amount","Captura de Valor"
"Capture Online","Captura Online"
"Capture Offline","Captura Offline"
"Not Capture","Não capturado"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Enviar Email Cópia da Fatura"
"Items Invoiced","Itens faturados"
"Total Tax","Total dos Impostos"
"From Name","Nome do Remetente"
"To Name","Para Nome"
"Add Order Comments","Adicionar Comentários ao Pedido"
"Notification Not Applicable","Notificação não aplicável"
"the order confirmation email was sent","o email de confirmação de pedido foi enviado"
"the order confirmation email is not sent","o email de confirmação de pedido não é enviado"
"Order Date (%1)","Order Date (%1)"
"Purchased From","Comprado de"
"Link to the New Order","Link para o Novo Pedido"
"Link to the Previous Order","Link para o Pedido Anterior"
"Placed from IP","Situado no IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Item Status","Status do item"
"Original Price","Preço Original"
"Tax Percent","Porcentagem de Imposto"
"Transaction Data","Transaction Data"
"Parent Transaction ID","ID da Transação Parental"
"Transaction Type","Tipo de Transação"
"Is Closed","Is Closed"
"Child Transactions","Child Transactions"
"Transaction Details","Transaction Details"
"Gift Message for this Order","Mensagem de Presente para Este Pedido"
"Shipped By","Enviado por"
"Tracking Number","Número de Rastreamento"
"Billing Last Name","Último Nome do Faturamento"
"Find Order By:","Encontrar Pedido Por:"
"ZIP Code","ZIP Code"
"Billing ZIP Code","Código Postal do Faturamento"
"Print All Refunds","Imprimir todos os reembolsos"
"Refund #","Reembolso #"
"Print Refund","Imprima Reembolso"
"You have placed no orders.","Não há pedidos feitos."
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"No shipping information available","Não há informações de remessa"
"Print Order","Imprimir pedido"
"Subscribe to Order Status","Assinar status do pedido"
"Print All Invoices","Imprimir todas as faturas"
"Invoice #","Fatura Nº "
"Print Invoice","Imprima Faturamento"
"Qty Invoiced","Quant. faturada"
"Refund #%1","Refund #%1"
"Invoice #%1","Invoice #%1"
"Shipment #%1","Shipment #%1"
"Items Shipped","Itens remetidos"
"Qty Shipped","Quantidade remessada"
"View All","Visualizar todos"
"Gift Message for This Order","Mensagem de Presente para Este Pedido"
"About Your Order","Sobre Seu Pedido"
"Shipment Comments","Shipment Comments"
"Gift Options for ","Gift Options for "
Ok,Ok
"Anchor Custom Title","Título âncora personalizado"
Phone,Phone
"Default Template","Modelo padrão"
"Minimum Order Amount","Minimum Order Amount"
Comma-separated,Comma-separated
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    "
"Logo for HTML Print View","Logo for HTML Print View"
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    "
"Minimum Amount","Minimum Amount"
"Subtotal after discount","Subtotal after discount"
"Description Message","Description Message"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Multi-address Description Message","Multi-address Description Message"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Sales Emails","Sales Emails"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"Send Order Email Copy To","Send Order Email Copy To"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Send Order Comments Email Copy Method"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
