All,全部
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"WYSIWYG Editor",所见即所得编辑器
"Add Product",添加产品
label,label
"Product Attributes",产品属性
"Add New Attribute",添加新属性
"Save in New Attribute Set","Save in New Attribute Set"
"Enter Name for New Attribute Set","Enter Name for New Attribute Set"
"Save Attribute",保存属性
"Delete Attribute",删除属性
"Edit Product Attribute ""%1""","Edit Product Attribute ""%1"""
"New Product Attribute",新产品属性
"Advanced Attribute Properties","Advanced Attribute Properties"
"Attribute Code","Attribute Code"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Default Value","Default Value"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Not shared with other products","Not shared with other products"
"Input Validation for Store Owner","Input Validation for Store Owner"
Global,全球
Scope,范围
"Declare attribute value saving scope",声明属性值保存范围
"Frontend Properties",前端属性
"Use in Quick Search",使用快速搜索
"Use in Advanced Search",使用高级搜索
"Comparable on Frontend","Comparable on Frontend"
"Use for Promo Rule Conditions",使用促销规则条件
"Enable WYSIWYG",启用所见即所得
"Allow HTML Tags on Frontend",允许在前端使用HTML标签
"Visible on Catalog Pages on Frontend","Visible on Catalog Pages on Frontend"
"Used in Product Listing",用于产品清单
"Depends on design theme",取决于设计主题
"Used for Sorting in Product Listing",在产品列表中使用排序
"Media Image",媒体图片
Gallery,画廊
"System Properties",系统属性
"Data Type for Saving in Database",要保存在数据库中的数据类型
Text,文字
Varchar,可变长字符串
Static,静态
Datetime,日期时间
Decimal,十进制
Integer,整数
"Globally Editable",全球范围内可编辑
"Attribute Information",属性信息
Properties,属性
"Manage Labels","Manage Labels"
Visible,可见
Searchable,可搜索
Comparable,可比较
"Delete Selected Group",删除所选组
"Delete Attribute Set",删除属性集
"You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?","You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?"
"Save Attribute Set",保存属性集
"New Set Name",新集名称
"Edit Attribute Set '%1'","Edit Attribute Set '%1'"
Empty,空
"Add Attribute",添加属性
"Add New Group",添加新群组
"Add Group",添加群组
"Edit Set Name",编辑集名称
"For internal use","For internal use"
"Based On",基于
"Add New Attribute Set",添加新属性集
"Add New Set",添加新集
"Product Templates","Product Templates"
"Close Window",关闭窗口
"New Product",新产品
"Save & Edit","Save & Edit"
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Attributes,属性
Change,更改
"Advanced Inventory","Advanced Inventory"
Websites,网站
"Products Information",产品信息
"Category Name","Category Name"
"Parent Category",父分类
"If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>."
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"There are no customers for this alert.",没有客户适用于此提醒。
"Subscribe Date",订阅日期
"Last Notified",最新通知
"Send Count",发送数量
"New Attribute","New Attribute"
"Attribute Set",属性集
"Add New Option",添加新选项
"Import Options","Import Options"
Import,Import
"Add New Row",添加新行
"Delete Row",删除行
"Tier Pricing",层级价格
"Default Price",默认价格
"Add Group Price",添加组价格
"ALL GROUPS",所有群组
"Add Tier",添加层
"Default Values",默认值
"Related Products",相关产品
Up-sells,超售
Cross-sells,交叉销售
"Size for %1","Size for %1"
"Watermark File for %1","Watermark File for %1"
"Position of Watermark for %1","Position of Watermark for %1"
"Name in %1","Name in %1"
"Notify Low Stock RSS",存货不足RSS通知
"Change status",更改状态
"Update Attributes",更新属性
"Click here or drag and drop to add images","Click here or drag and drop to add images"
"Delete image","Delete image"
"Make Base","Make Base"
Hidden,Hidden
"Image Management","Image Management"
"start typing to search category","start typing to search category"
"New Category","New Category"
"Add New Images",添加新图像
"Inc. Tax","Inc. Tax"
lbs,lbs
"Add New Search Term",添加新的搜索条件
"Save Search",保存搜索
"Delete Search",删除搜索
"Edit Search '%1'","Edit Search '%1'"
"New Search",新搜索
"Search Information",搜索信息
"Search Query",搜索查询
"Number of results",结果的数量
"Number of results (For the last time placed)",结果的数量（上次的置入）
"For the last time placed.",上次的置入
"Number of Uses","Number of Uses"
"Synonym For",同义词
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Redirect URL",重定向URL
"ex. http://domain.com","例如 http://domain.com"
"Display in Suggested Terms",显示建议的搜索条件
"Go to Home Page",前往主页
"%1 RSS Feed","%1 RSS Feed"
"Products Comparison List",产品比较列表
AM,AM
PM,PM
Categories,分类
"Manage Catalog Categories",管理分类类别
"Manage Categories",管理分类
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"Unable to save the category","Unable to save the category"
"You saved the category.","You saved the category."
"There was a category move error.","There was a category move error."
"There was a category move error %1","There was a category move error %1"
"You deleted the category.","You deleted the category."
"Something went wrong while trying to delete the category.","Something went wrong while trying to delete the category."
"This product no longer exists.",该产品已不存在。
"Unable to save product","Unable to save product"
"You saved the product.","You saved the product."
"SKU for product %1 has been changed to %2.","SKU for product %1 has been changed to %2."
"You duplicated the product.","You duplicated the product."
"Please select product(s).",请选择产品。
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the product(s) status.","Something went wrong while updating the product(s) status."
"Please make sure to define SKU values for all processed products.","Please make sure to define SKU values for all processed products."
"Please refresh "Product EAV" in System -> <a href="%1">Index Management</a>.","Please refresh "Product EAV" in System -> <a href="%1">Index Management</a>."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Please select products for attributes update.","Please select products for attributes update."
"Manage Product Attributes",管理产品属性
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.",该属性无法编辑。
"Edit Product Attribute",编辑产品属性
"An attribute with this code already exists.","An attribute with this code already exists."
"Attribute with the same code (%1) already exists.","Attribute with the same code (%1) already exists."
"Attribute Set with name '%1' already exists.","Attribute Set with name '%1' already exists."
"Something went wrong saving the attribute.","Something went wrong saving the attribute."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter."
"You can't update your attribute.","You can't update your attribute."
"You saved the product attribute.","You saved the product attribute."
"This attribute cannot be deleted.",该属性无法被删除。
"The product attribute has been deleted.",产品属性已被删除。
"We can't find an attribute to delete.","We can't find an attribute to delete."
"A group with the same name already exists.",以同样名称命名的群组已存在。
"Something went wrong while saving this group.","Something went wrong while saving this group."
"Manage Attribute Sets",管理属性集
"New Set","New Set"
"Manage Product Sets",管理产品设置
"This attribute set no longer exists.",该属性已不存在。
"You saved the attribute set.","You saved the attribute set."
"An error occurred while saving the attribute set.",保存属性集时发生错误。
"New Product Template","New Product Template"
"The attribute set has been removed.","The attribute set has been removed."
"An error occurred while deleting this set.","An error occurred while deleting this set."
"Search Terms","Search Terms"
"This search no longer exists.",该搜索已不存在。
"Edit Search",编辑搜索
"You already have an identical search term query.","You already have an identical search term query."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You deleted the search.","You deleted the search."
"We can't find a search term to delete.","We can't find a search term to delete."
"Please select catalog searches.","Please select catalog searches."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You removed product %1 from the comparison list.","You removed product %1 from the comparison list."
"You cleared the comparison list.","You cleared the comparison list."
"Something went wrong  clearing the comparison list.","Something went wrong  clearing the comparison list."
"To see product price, add this item to your cart. You can always remove it later.",要查看产品价格，请添加该项目到您的购物车。您总是可以稍后删除它。
"See price before order confirmation.",确认订单前显示价格。
"The product is not loaded.","The product is not loaded."
"Invalid attribute %1","Invalid attribute %1"
"Field ""%1"" was not found in DO ""%2"".","Field ""%1"" was not found in DO ""%2""."
Grid,网格
List,列表
"Product is not loaded",产品尚未加载
"Bad controller interface for showing product","Bad controller interface for showing product"
"Sorry, but we can't move the category because we can't find the new parent category you selected.","Sorry, but we can't move the category because we can't find the new parent category you selected."
"Sorry, but we can't move the category because we can't find the new category you selected.","Sorry, but we can't move the category because we can't find the new category you selected."
"We can't perform this category move operation because the parent category matches the child category.","We can't perform this category move operation because the parent category matches the child category."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates",无布局更新
"Products only",仅产品
"Static block only",仅静态区块
"Static block and products",静态区块和产品
"Please select a static block.","Please select a static block."
frontend_label,frontend_label
"-- Please Select a Category --","-- Please Select a Category --"
"Grid Only","Grid Only"
"List Only","List Only"
"Grid (default) / List","Grid (default) / List"
"List (default) / Grid","List (default) / Grid"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
Manual,Manual
"-- Please select --","-- Please select --"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","Parent Product Thumbnail"
"12h AM/PM","12h AM/PM"
24h,24h
Stretch,拉伸
Tile,平铺
Top/Left,顶部/左侧
Top/Right,顶部/右侧
Bottom/Left,底部/左侧
Bottom/Right,底部/右侧
Center,中心
"Could not rebuild index for undefined product","Could not rebuild index for undefined product"
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","Unsupported product type ""%1""."
"Index product and categories URL Rewrites","Index product and categories URL Rewrites"
"The category must be an instance of \Magento\Catalog\Model\Category.","The category must be an instance of \Magento\Catalog\Model\Category."
"Please correct the category.","Please correct the category."
"The attribute model is not defined.","The attribute model is not defined."
Category,分类
"%1 - %2","%1 - %2"
"The filter must be an object. Please set correct filter.","The filter must be an object. Please set correct filter."
"%1 and above","%1 and above"
"Clear Price",清除价格
"The filters must be an array.",过滤器必须为数组。
"We found a duplicate website group price customer group.","We found a duplicate website group price customer group."
"Group price must be a number greater than 0.","Group price must be a number greater than 0."
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"Please enter a number 0 or greater in this field.","Please enter a number 0 or greater in this field."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU length should be %1 characters maximum."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Use config",用户配置
"In Cart",购物车
"Before Order Confirmation",在订单确认之前
"On Gesture",手势
"We can't find the image file.","We can't find the image file."
"Index product attributes for layered navigation building",为分层导航建筑索引产品属性
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.",选择需要值的选项类型。
"Please specify date required option(s).",请指定日期需要的选项。
"Please specify time required option(s).",请指定时间需要的选项。
"Please specify the product's required option(s).",请指定产品的必要选项。
"The option instance type in options group is incorrect.","The option instance type in options group is incorrect."
"The product instance type in options group is incorrect.","The product instance type in options group is incorrect."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We couldn't add the product to the cart because of an option validation issue.","We couldn't add the product to the cart because of an option validation issue."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"The file '%1' for '%2' has an invalid extension.","The file '%1' for '%2' has an invalid extension."
"Maximum allowed image size for '%1' is %2x%3 px.","Maximum allowed image size for '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","The file '%1' you uploaded is larger than the %2 megabytes allowed by our server."
px.,像素
"The file options format is not valid.","The file options format is not valid."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"The text is too long.","The text is too long."
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Not Visible Individually",无独立可见性
"Catalog, Search",分类，搜索
"Something went wrong removing products from the websites.","Something went wrong removing products from the websites."
"Something went wrong adding products to websites.","Something went wrong adding products to websites."
"Attribute '%1' is locked. ","Attribute '%1' is locked. "
"Do not change the scope. ","Do not change the scope. "
"We found an unknown EAV indexer type ""%1"".","We found an unknown EAV indexer type ""%1""."
"A product type is not defined for the indexer.",索引器中产品类型未定义。
"Something went wrong saving the URL rewite.","Something went wrong saving the URL rewite."
"Multiple Select","Multiple Select"
Dropdown,Dropdown
"Please specify either a category or a product, or both.","Please specify either a category or a product, or both."
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"As low as:",低至：
"Are you sure you want to delete this category?",你确定要删除此类别？
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Collapse All",折叠全部
"Expand All",全部展开
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Manage Titles (Size, Color, etc.)",管理名称（尺寸，颜色等）
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Is Default",为默认值
"Add Option","Add Option"
"Sort Option","Sort Option"
Groups,群组
"Double click on a group to rename it",双击组即可更名
"Unassigned Attributes",未分配的属性
"A name is required.","A name is required."
"This group contains system attributes. Please move system attributes to another group and try again.",该群组包含系统属性。请移动系统属性到另一群组并重试。
"Please enter a new group name.","Please enter a new group name."
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"We're unable to complete this request.","We're unable to complete this request."
"You cannot remove system attributes from this set.","You cannot remove system attributes from this set."
"Custom Options",自定义选项
"This is a required option.","This is a required option."
"Field is not complete",字段不完整
"Allowed file extensions to upload",允许上传的文件扩展
"Maximum image width",图片最大宽度
"Maximum image height",图片最大高度
"Maximum number of characters:",最大字符数：
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock",库存管理
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
Backorders,缺货
"Notify for Quantity Below",存量过低通知
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability",库存状况
"In Stock",有货
"Out of Stock",无货
"Add Product To Websites",添加产品到网站
"Remove Product From Websites",从网站删除产品
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.",您不希望显示在分类或搜索结果中的内容应在目标店铺中设置'Disabled'状态。
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"Delete Custom Option","Delete Custom Option"
"Sort Custom Options","Sort Custom Options"
"Allowed File Extensions",允许的文件扩展
"Maximum Image Size",最大图像大小
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","Please leave blank if it is not an image."
"Sort Custom Option","Sort Custom Option"
"Max Characters",字符数上限
"Customer Group",客户组
"Delete Group Price",删除组价格
"Item Price","Item Price"
"and above",及以上
"Delete Tier",删除层
"Product In Websites",网站中的产品
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.",您不希望在分类或搜索结果中显示的内容应在目标店铺中设置'Disabled'状态。
"(Copy data from: %1)","(Copy data from: %1)"
"Remove Image","Remove Image"
"Alt Text","Alt Text"
Role,Role
"Hide from Product Page","Hide from Product Page"
"Close panel","Close panel"
"Regular Price:",常规价格：
"Special Price:",特殊价格：
"Product Alerts",产品警报
"Can be Divided into Multiple Boxes for Shipping",可拆分为多个箱发货
"Basic Settings","Basic Settings"
"Advanced Settings","Advanced Settings"
"Select Product Actions","Select Product Actions"
"Price as configured:","Price as configured:"
"Click for price",单击获取价格
"What's this?",这是什么？
"Buy %1 for: ","Buy %1 for: "
"Buy %1 for %2","Buy %1 for %2"
each,每个
and,和
save,保存
"Actual Price",实际价格
"Shop By",购物
"Shopping Options",购物选项
"Compare Products",比较产品
"1 item","1 item"
"%1 items","%1 items"
"Print This Page",打印本页面
"Remove Product","Remove Product"
"Add to Wishlist",添加到收藏
"You have no items to compare.",您没有可比较的项目。
"Are you sure you would like to remove this item from the compare products?",你确定要从对比产品中删除这个项目？
"Are you sure you would like to remove all products from your comparison?",你确定要是删除所有对比的产品？
"Remove This Item",删除该内容
Compare,比较
"Clear All",清除全部
Prev,上一个
"There are no products matching the selection.",没有产品匹配该选择。
"Add to Compare",添加并比较
"Learn More",了解更多
"You may also be interested in the following product(s)",您还可能对下列产品感兴趣
"More Choices:","More Choices:"
"New Products",新产品
"Check items to add to the cart or",检查要加入购物车的内容
"select all",全选
"View as",查看为
"Sort By",分类依据
"Set Ascending Direction",设置降序顺序
"Set Descending Direction",设置升序顺序
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
Show,显示
"Additional Information",额外信息
"More Views",更多视图
"Click on image to view it full sized","Click on image to view it full sized"
"Click on image to zoom","Click on image to zoom"
"Email to a Friend",给朋友发邮件
Details,详情
Template,模板
"File extension not known or unsupported type.","File extension not known or unsupported type."
"Configure Product","Configure Product"
"Select type of option.","Select type of option."
"Please add rows to option.",请添加选项行。
"Select Product","Select Product"
"Choose existing category.","Choose existing category."
"Create Category","Create Category"
"unselect all",撤销全选
"Maximal Depth","Maximal Depth"
"Anchor Custom Text",自定义文本锚点
"Anchor Custom Title",自定义标题锚点
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
Frontend,Frontend
"List Mode","List Mode"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
Comma-separated.,Comma-separated.
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Product Listing Sort by","Product Listing Sort by"
"Allow All Products per Page","Allow All Products per Page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Product Image Placeholders"
"Search Engine Optimization","Search Engine Optimization"
"Category URL Suffix","Category URL Suffix"
"You need to refresh the cache.","You need to refresh the cache."
"Product URL Suffix","Product URL Suffix"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Page Title Separator","Page Title Separator"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Catalog Price Scope","Catalog Price Scope"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Category Top Navigation"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Date Fields Order","Date Fields Order"
"Time Format","Time Format"
"Year Range","Year Range"
"Please use a four-digit year format.","Please use a four-digit year format."
"Product Image Watermarks","Product Image Watermarks"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
Watermark,Watermark
"Watermark Position","Watermark Position"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Minimum Advertised Price","Minimum Advertised Price"
"Enable MAP","Enable MAP"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end."
"Display Actual Price","Display Actual Price"
"Default Popup Text Message","Default Popup Text Message"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Product Flat Data",产品平坦数据
"Reorganize EAV product structure to flat structure",重新整理EAV产品结构为平坦结构
"Category Flat Data",分类平坦数据
"Reorganize EAV category structure to flat structure",重新识别EAV分类结构为平坦结构
"Indexed category/products association",已索引的分类/产品关联
"Product Categories",产品分类
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Product Price"
"Index product prices",索引产品价格
"Catalog New Products List",分类新产品列表
"List of Products that are set as New",名单被定为新产品
"Display Type","Display Type"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products","All products"
"New products","New products"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display",显示的产品数量
"New Products Grid Template",新产品网格模板
"New Products List Template",新产品列表模板
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)",缓存生存时间（秒）
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link",分类产品链接
"Link to a Specified Product",链接到指定产品
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"Product Link Block Template",产品链接区块模板
"Product Link Inline Template",产品链接内联模板
"Catalog Category Link",分类类别链接
"Link to a Specified Category",链接到指定的分类
"If empty, the Category Name will be used",如果为空，则使用分类名称
"Category Link Block Template",分类链接块模板
"Category Link Inline Template",分类链接内联摸板
Set,设置名称
none,none
Overview,Overview
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
