All,Alle
"Edit Product Attribute ""%1""","Edit Product Attribute ""%1"""
"New Product Attribute","Neues Produktattribut"
"Advanced Attribute Properties","Advanced Attribute Properties"
"Attribute Code","Attribute Code"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Default Value","Default Value"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Not shared with other products","Not shared with other products"
"Input Validation for Store Owner","Input Validation for Store Owner"
Global,Global
Scope,Umfang
"Declare attribute value saving scope","Definiere Attribut  ""Wertsparender Spielraum"""
"Frontend Properties",Frontend-Eigenschaften
"Use in Quick Search","Bei Schnellsuche nutzen"
"Use in Advanced Search","In erweiterter Suche verwenden"
"Comparable on Frontend","Comparable on Frontend"
"Use for Promo Rule Conditions","Für Promo Regelbedingungen verwenden"
"Enable WYSIWYG","WYSIWYG aktivieren"
"Allow HTML Tags on Frontend","HTML-Tags am Frontend zulassen"
"Visible on Catalog Pages on Frontend","Visible on Catalog Pages on Frontend"
"Used in Product Listing","Im Produkt-Listing verwendet"
"Depends on design theme","abhängig vom Design Thema"
"Used for Sorting in Product Listing","Für Sortierung im Produkt-Listing verwendet"
"Media Image",Bild
Gallery,Gallerie
"System Properties",Systemeinstellungen
"Data Type for Saving in Database","Datentyp für das Speichern in Datenbank"
Text,Text
Varchar,Varchar
Static,Statisch
Datetime,Datetime
Decimal,Dezimal
Integer,Integer
"Globally Editable","Global bearbeitbar"
"Attribute Information",Eigenschafteninformation
Properties,Eigenschaften
"Manage Labels","Manage Labels"
Visible,Sichtbar
Searchable,Suchbar
Comparable,Vergleichbar
"Delete Selected Group","Ausgewählte Gruppe löschen"
"Delete Attribute Set","Attributreihe löschen"
"You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?","You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?"
"Save Attribute Set","Merkmale speichern"
"New Set Name","Neuer Setname"
"Edit Attribute Set '%1'","Edit Attribute Set '%1'"
Empty,Leer
"Add Attribute","Eigenschaft hinzufügen"
"Add New Group","Neue Gruppe hinzufügen"
"Add Group","Gruppe hinzufügen"
"Edit Set Name","Name bearbeiten einstellen"
"For internal use","For internal use"
"Based On","Basierend auf"
"Add New Attribute Set","Neuer Eigenschaftensatz hinzufügen"
"Add New Set","Neuen Satz hinzufügen"
"Product Templates","Product Templates"
"Close Window","Fenster Schließen"
"New Product","Neues Produkt"
"Save & Edit","Save & Edit"
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Attributes,Attribute
Change,Ändern
"Advanced Inventory","Advanced Inventory"
Websites,Webseiten
"Products Information",Produktinformationen
"Category Name","Category Name"
"Parent Category",Überkategorie
"If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>."
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"There are no customers for this alert.","Es gibt keine Kunden für diesen Wanhinweis."
"Subscribe Date",Anmeldedatum
"Last Notified","Letzte Benachrichtigung"
"Send Count","Zählerstand senden"
"New Attribute","New Attribute"
"Attribute Set",Attributset
"Add New Option","Neue Option hinzufügen"
"Import Options","Import Options"
Import,Import
"Add New Row","Neue Zeile hinzufügen"
"Delete Row","Reihe löschen"
"Tier Pricing",Preisebene
"Default Price","Vorgegebener Preis"
"Add Group Price","Gruppenpreis hinzufügen"
"ALL GROUPS","ALLE GRUPPEN"
"Add Tier","Ebene hinzufügen"
"Default Values",Standardwerte
"Related Products",Zubehör
Up-sells,Up-Selling
Cross-sells,Querverkäufe
"Size for %1","Size for %1"
"Watermark File for %1","Watermark File for %1"
"Position of Watermark for %1","Position of Watermark for %1"
"Name in %1","Name in %1"
"Notify Low Stock RSS","Lagerbestand RSS"
"Change status","Status ändern"
"Update Attributes","Merkmale aktualisieren"
"Click here or drag and drop to add images","Click here or drag and drop to add images"
"Delete image","Delete image"
"Make Base","Make Base"
Hidden,Hidden
"Image Management","Image Management"
"start typing to search category","start typing to search category"
"New Category","New Category"
"Add New Images","Neue Bilder hinzufügen"
"Inc. Tax","Inc. Tax"
lbs,lbs
"Add New Search Term","Neuen Suchbegriff hinzufügen"
"Save Search","Suche speichern"
"Delete Search","Suche löschen"
"Edit Search '%1'","Edit Search '%1'"
"New Search","Neue Suchabfrage"
"Search Information",Suchinformationen
"Search Query",Suchanfrage
"Number of results","Anzahl der Ergebnisse"
"Number of results (For the last time placed)","Anzahl der Ergebnisse (für die letzte platzierte Zeit)"
"For the last time placed.","Letzte Bestellung aufgegeben am"
"Number of Uses","Number of Uses"
"Synonym For","Synonym für"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Redirect URL",Weiterleitungs-URL
"ex. http://domain.com","z.B. http://domain.com"
"Display in Suggested Terms","Anzeige laut vorgeschlagener Nutzungsbedingungen"
"Go to Home Page","Zur Startseite gehen"
"%1 RSS Feed","%1 RSS Feed"
"Products Comparison List","Produkt Vergleichsliste"
AM,AM
PM,Nachmittags
Categories,Kategorien
"Manage Catalog Categories","Katalogkategorien verwalten"
"Manage Categories","Kategorien verwalten"
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"Unable to save the category","Unable to save the category"
"You saved the category.","You saved the category."
"There was a category move error.","There was a category move error."
"There was a category move error %1","There was a category move error %1"
"You deleted the category.","You deleted the category."
"Something went wrong while trying to delete the category.","Something went wrong while trying to delete the category."
"This product no longer exists.","Dieses Produkt existiert nicht mehr."
"Unable to save product","Unable to save product"
"You saved the product.","You saved the product."
"SKU for product %1 has been changed to %2.","SKU for product %1 has been changed to %2."
"You duplicated the product.","You duplicated the product."
"Please select product(s).","Wählen Sie bitte ein Produkt(e)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the product(s) status.","Something went wrong while updating the product(s) status."
"Please make sure to define SKU values for all processed products.","Please make sure to define SKU values for all processed products."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Please select products for attributes update.","Please select products for attributes update."
"Manage Product Attributes","Produktattribute verwalten"
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","Dieses Merkmal kann nicht bearbeitet werden."
"Edit Product Attribute","Produkteigenschaften bearbeiten"
"An attribute with this code already exists.","An attribute with this code already exists."
"Attribute with the same code (%1) already exists.","Attribute with the same code (%1) already exists."
"Attribute Set with name '%1' already exists.","Attribute Set with name '%1' already exists."
"Something went wrong saving the attribute.","Something went wrong saving the attribute."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter."
"You can't update your attribute.","You can't update your attribute."
"You saved the product attribute.","You saved the product attribute."
"This attribute cannot be deleted.","Diese Eigenschaft kann nicht gelöscht werden."
"The product attribute has been deleted.","Das Produktattribut wurde gelöscht."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"A group with the same name already exists.","Gruppe mit dem gleichen Namen existiert bereits."
"Something went wrong while saving this group.","Something went wrong while saving this group."
"Manage Attribute Sets","Attributsets verwalten"
"New Set","New Set"
"Manage Product Sets","Produktsets verwalten"
"This attribute set no longer exists.","Dieses Eigenschaftenset existiert nicht mehr."
"You saved the attribute set.","You saved the attribute set."
"An error occurred while saving the attribute set.","Beim Speichern des Eigenschaftensatzes ist ein Fehler aufgetreten."
"New Product Template","New Product Template"
"The attribute set has been removed.","The attribute set has been removed."
"An error occurred while deleting this set.","An error occurred while deleting this set."
"Search Terms","Search Terms"
"This search no longer exists.","Diese Suche existiert nicht mehr."
"Edit Search","Suche bearbeiten"
"You already have an identical search term query.","You already have an identical search term query."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You deleted the search.","You deleted the search."
"We can't find a search term to delete.","We can't find a search term to delete."
"Please select catalog searches.","Please select catalog searches."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You removed product %1 from the comparison list.","You removed product %1 from the comparison list."
"You cleared the comparison list.","You cleared the comparison list."
"Something went wrong  clearing the comparison list.","Something went wrong  clearing the comparison list."
"To see product price, add this item to your cart. You can always remove it later.","Um den Produktpreis sehen zu können, müssen Sie das Produkt in Ihren Einkaufswagen legen. Sie können es später wieder löschen."
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"The product is not loaded.","The product is not loaded."
"Invalid attribute %1","Invalid attribute %1"
"Field ""%1"" was not found in DO ""%2"".","Field ""%1"" was not found in DO ""%2""."
Grid,Raster
List,Liste
"Product is not loaded","Produkt wurde nicht geladen"
"Bad controller interface for showing product","Bad controller interface for showing product"
"Sorry, but we can't move the category because we can't find the new parent category you selected.","Sorry, but we can't move the category because we can't find the new parent category you selected."
"Sorry, but we can't move the category because we can't find the new category you selected.","Sorry, but we can't move the category because we can't find the new category you selected."
"We can't perform this category move operation because the parent category matches the child category.","We can't perform this category move operation because the parent category matches the child category."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates","Keine Aktualisierungen des Layouts"
"Products only","Nur Produkte"
"Static block only","Nur statischer Block"
"Static block and products","Statischer Block und Produkte"
"Please select a static block.","Please select a static block."
frontend_label,frontend_label
"-- Please Select a Category --","-- Please Select a Category --"
"Grid Only","Grid Only"
"List Only","List Only"
"Grid (default) / List","Grid (default) / List"
"List (default) / Grid","List (default) / Grid"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
Manual,Manual
"-- Please select --","-- Please select --"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","Parent Product Thumbnail"
"12h AM/PM","12h AM/PM"
24h,24h
Stretch,Dehnen
Tile,Kachel
Top/Left,"Oben links"
Top/Right,Oben/Rechts
Bottom/Left,Unten/Links
Bottom/Right,Unten/Rechts
Center,Mitte
"Could not rebuild index for undefined product","Could not rebuild index for undefined product"
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","Unsupported product type ""%1""."
"Index product and categories URL Rewrites","Index product and categories URL Rewrites"
"The category must be an instance of \Magento\Catalog\Model\Category.","The category must be an instance of \Magento\Catalog\Model\Category."
"Please correct the category.","Please correct the category."
"The attribute model is not defined.","The attribute model is not defined."
Category,Kategorie
"%1 - %2","%1 - %2"
"The filter must be an object. Please set correct filter.","The filter must be an object. Please set correct filter."
"%1 and above","%1 and above"
"Clear Price","Preis löschen"
"The filters must be an array.","Die Filter müssen als Array vorliegen."
"We found a duplicate website group price customer group.","We found a duplicate website group price customer group."
"Group price must be a number greater than 0.","Group price must be a number greater than 0."
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"Please enter a number 0 or greater in this field.","Please enter a number 0 or greater in this field."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU length should be %1 characters maximum."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Use config","config verwenden"
"In Cart","Im Einkaufswagen"
"Before Order Confirmation","Vor der Bestellungsbestätigung"
"On Gesture","Gestik An"
"We can't find the image file.","We can't find the image file."
"Index product attributes for layered navigation building","Produktattribute für einen mehrstufigen Navigationsaufbau indizieren"
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Typenoptionen für benötigte Wertezeilen auswählen."
"Please specify date required option(s).","Bitte die benötigten Datum-Optionen angeben."
"Please specify time required option(s).","Bitte die benötigten Zeit-Optionen angeben."
"Please specify the product's required option(s).","Geben Sie bitte die obligatorischen Option(en) für das Produkt an."
"The option instance type in options group is incorrect.","The option instance type in options group is incorrect."
"The product instance type in options group is incorrect.","The product instance type in options group is incorrect."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We couldn't add the product to the cart because of an option validation issue.","We couldn't add the product to the cart because of an option validation issue."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"The file '%1' for '%2' has an invalid extension.","The file '%1' for '%2' has an invalid extension."
"Maximum allowed image size for '%1' is %2x%3 px.","Maximum allowed image size for '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","The file '%1' you uploaded is larger than the %2 megabytes allowed by our server."
px.,px.
"The file options format is not valid.","The file options format is not valid."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"The text is too long.","The text is too long."
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Not Visible Individually","Nicht individuell sichtbar"
"Catalog, Search","Katalog, Suche"
"Something went wrong removing products from the websites.","Something went wrong removing products from the websites."
"Something went wrong adding products to websites.","Something went wrong adding products to websites."
"Attribute '%1' is locked. ","Attribute '%1' is locked. "
"Do not change the scope. ","Do not change the scope. "
"We found an unknown EAV indexer type ""%1"".","We found an unknown EAV indexer type ""%1""."
"A product type is not defined for the indexer.","Produkttyp ist für den Indexer nicht definiert."
"Something went wrong saving the URL rewite.","Something went wrong saving the URL rewite."
"Multiple Select","Multiple Select"
Dropdown,Dropdown
"Please specify either a category or a product, or both.","Please specify either a category or a product, or both."
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"As low as:","So niedrig wie:"
"Are you sure you want to delete this category?","Möchten Sie diese Kategorie wirklich löschen?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Collapse All","Alle einklappen"
"Expand All","Alle erweitern"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Manage Titles (Size, Color, etc.)","Titel verwalten (Größe, Farbe, etc.)"
"Manage Options (values of your attribute)","Optionen (Werte Ihrer Attribute) verwalten"
"Is Default","Als Standard"
"Add Option","Add Option"
"Sort Option","Sort Option"
Groups,Gruppen
"Double click on a group to rename it","Doppel-Klick auf eine Gruppe um sie umzubennenen"
"Unassigned Attributes","Nicht zugewiesene Attribute"
"A name is required.","A name is required."
"This group contains system attributes. Please move system attributes to another group and try again.","Diese Gruppe enthält System Eigenschaften. Bitte verschieben Sie System Eigenschaften in eine andere Gruppe und versuchen Sie es noch einmal."
"Please enter a new group name.","Please enter a new group name."
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"We're unable to complete this request.","We're unable to complete this request."
"You cannot remove system attributes from this set.","You cannot remove system attributes from this set."
"Custom Options",Kundenoptionen
"This is a required option.","This is a required option."
"Field is not complete","Feld ist nicht vollständig"
"Allowed file extensions to upload","Erlaubte Dateierweiterungen zum Hochladen"
"Maximum image width","Maximale Bildbreite"
"Maximum image height","Maximale Bildhöhe"
"Maximum number of characters:","Maximale Anzahl Zeichen:"
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock","Lagerbestand verwalten"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
Backorders,Lieferückstand
"Notify for Quantity Below","Bei unterer Anzahl benachrichtigen."
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability",Lagerbestand
"In Stock","Auf Lager"
"Out of Stock","Nicht vorrätig"
"Add Product To Websites","Produkt zu Webseiten hinzufügen"
"Remove Product From Websites","Produkt von Websites entfernen"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gegenstände die im Katalog oder den Suchergebnissen nicht erscheinen sollen, sollten den Status ""Deaktiviert"" im gewünschten Shop haben."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"Delete Custom Option","Delete Custom Option"
"Sort Custom Options","Sort Custom Options"
"Allowed File Extensions","Erlaubte Dateierweiterungen"
"Maximum Image Size","Maximale Bildgröße"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","Please leave blank if it is not an image."
"Sort Custom Option","Sort Custom Option"
"Max Characters","Maximale Anzahl Zeichen"
"Customer Group",Kundengruppe
"Delete Group Price","Gruppenpreis löschen"
"Item Price","Item Price"
"and above","und oben"
"Delete Tier","Ebene löschen"
"Product In Websites","Produkt auf Webseiten"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikel, die nicht in den Suchergebnissen oder im Katalog angezeigt werden sollen, sollten den Status 'Deaktiviert' im gewünschten Shop haben."
"(Copy data from: %1)","(Copy data from: %1)"
"Remove Image","Remove Image"
"Alt Text","Alt Text"
Role,Role
"Hide from Product Page","Hide from Product Page"
"Close panel","Close panel"
"Regular Price:","Regulärer Preis:"
"Special Price:",Sonderpreis:
"Product Alerts",Produktmeldungen
"Can be Divided into Multiple Boxes for Shipping","Kann für den Versand in mehrere Pakete unterteilt werden"
"Basic Settings","Basic Settings"
"Advanced Settings","Advanced Settings"
"Select Product Actions","Select Product Actions"
"Price as configured:","Price as configured:"
"Click for price","Klicken für den Preis"
"What's this?","Was ist das?"
"Buy %1 for: ","Buy %1 for: "
"Buy %1 for %2","Buy %1 for %2"
each,jede
and,und
save,Speichern
"Actual Price","Tatsächlicher Preis"
"Shop By","Shop nach"
"Shopping Options",Einkaufsoptionen
"Compare Products","Produkte vergleichen"
"1 item","1 item"
"%1 items","%1 items"
"Print This Page","Diese Seite drucken"
"Remove Product","Remove Product"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"You have no items to compare.","Sie haben keine Gegenstände zum Vergleich."
"Are you sure you would like to remove this item from the compare products?","Sind Sie sicher, dass Sie diese Position vom Produktvergleich entfernen möchten?"
"Are you sure you would like to remove all products from your comparison?","Sind Sie sicher, dass Sie alle Produkte von Ihrem Vergleich entfernen möchten?"
"Remove This Item","Diesen Gegenstand entfernen"
Compare,Vergleichen
"Clear All","Alle löschen"
Prev,Vorschau
"There are no products matching the selection.","Es gibt keine Produkte, die dieser Auswahl entsprechen."
"Add to Compare","Hinzufügen um zu vergleichen"
"Learn More","mehr dazu"
"You may also be interested in the following product(s)","Sie könnten auch an folgenden Produkten interessiert sein"
"More Choices:","More Choices:"
"New Products","Neue Produkte"
"Check items to add to the cart or","Artikel überprüfen, um sie dem Einkaufswagen zuzufügen oder"
"select all","Alles auswählen"
"View as","Darstellung als"
"Sort By","Sortieren nach"
"Set Ascending Direction","Aufsteigende Sortierung einstellen"
"Set Descending Direction","In absteigender Reihenfolge"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
Show,Anzeigen
"Additional Information","Zusätzliche Information"
"More Views","Mehr Ansichten"
"Click on image to view it full sized","Click on image to view it full sized"
"Click on image to zoom","Click on image to zoom"
"Email to a Friend","E-Mail an einen Freund"
Details,Details
Template,Vorlage
"File extension not known or unsupported type.","File extension not known or unsupported type."
"Configure Product","Configure Product"
"Select type of option.","Select type of option."
"Please add rows to option.","Bitte Zeilen zur Option hinzufügen."
"Select Product","Select Product"
"Choose existing category.","Choose existing category."
"Create Category","Create Category"
"unselect all","Alles abwählen"
"Maximal Depth","Maximal Depth"
"Anchor Custom Text","Anchor eigener Text"
"Anchor Custom Title","Anchor eigener Titel"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
Frontend,Frontend
"List Mode","List Mode"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
Comma-separated.,Comma-separated.
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Product Listing Sort by","Product Listing Sort by"
"Allow All Products per Page","Allow All Products per Page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Product Image Placeholders"
"Search Engine Optimization","Search Engine Optimization"
"Category URL Suffix","Category URL Suffix"
"You need to refresh the cache.","You need to refresh the cache."
"Product URL Suffix","Product URL Suffix"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Page Title Separator","Page Title Separator"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Catalog Price Scope","Catalog Price Scope"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Category Top Navigation"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Date Fields Order","Date Fields Order"
"Time Format","Time Format"
"Year Range","Year Range"
"Please use a four-digit year format.","Please use a four-digit year format."
"Product Image Watermarks","Product Image Watermarks"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
Watermark,Watermark
"Watermark Position","Watermark Position"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Minimum Advertised Price","Minimum Advertised Price"
"Enable MAP","Enable MAP"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end."
"Display Actual Price","Display Actual Price"
"Default Popup Text Message","Default Popup Text Message"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Product Flat Data","Produkt Flat Daten"
"Reorganize EAV product structure to flat structure","EAV Produkt-Struktur in Flat-Struktur umwandeln"
"Category Flat Data","Flache Kategoriedaten"
"Reorganize EAV category structure to flat structure","EAV Kategorie-Struktur in Flat-Struktur umwandeln"
