"# of Use","件使用中"
"%1$s incl tax.","%1$s 税込"
"%s - %s","%s - %s未満"
"%s Item(s)","%s件の商品"
"%s and above","%s とそれ以上"
"Catalog Seo Sitemap (Category List)","カタログサイトマップ (カテゴリリスト)"
"Catalog Seo Sitemap (Category Tree)","カタログサイトマップ (カテゴリツリー)"
"Catalog Seo Sitemap (Common)","カタログサイトマップ (共通)"
"Catalog Seo Sitemap (Product List)","カタログサイトマップ (商品一覧)"
"Catalog URL Rewrites","カタログURL書換"
"Catalog product custom option values API","カタログ商品カスタムオプション値API"
"Catalog product custom options API","カタログ商品カスタムオプションAPI"
"Catalog, Search","カタログ, 検索"
"Categories","カテゴリ"
"Categories Sitemap","カテゴリのサイトマップ"
"Category","カテゴリ"
"Category API","カテゴリAPI"
"Category Data","カテゴリデータ"
"Category Flat Data","カテゴリフラットデータ"
"Category Link Block Template","カテゴリリンクブロックテンプレート"
"Category Link Inline Template","カテゴリリンクインラインテンプレート"
"Category Products","カテゴリの商品"
"Category Top Navigation","カテゴリTOPナビゲーション"
"Category URL Suffix","カテゴリURL拡張子"
"Category attributes API","カテゴリ属性API"
"Category move error","カテゴリ移動エラー"
"Category move operation is not possible: parent category is equal to child category.","カテゴリ移動できません：親カテゴリと子カテゴリが同じです。"
"Category move operation is not possible: the current category was not found.","カテゴリ移動できません：現在のカテゴリが見つかりません。"
"Category move operation is not possible: the new parent category was not found.","カテゴリ移動ができません。新しい親カテゴリが存在しません。"
"Category must be an instance of Mage_Catalog_Model_Category.","カテゴリはMage_Catalog_Model_Categoryのインスタンスである必要があります。"
"Center","中央"
"Change","変更"
"Change or Retrieve attribute store view","ストアビューの属性を変更または読み込む"
"Change status","ステータス変更"
"Check items to add to the cart or","アイテムをクリックしてカートに追加または"
"Choose an Option...","オプションを選択してください"
"Clear All","すべてクリア"
"Clear Price","Clear Price"
"Click for price","クリックして価格を表示"
"Close Window","ウインドウを閉じる"
"Collapse All","すべて折りたたむ"
"Comma-separated.","コンマ区切り"
"Comparable","比較可能"
"Comparable on Front-end","フロントエンドで比較可能"
"Comparable on the Frontend","フロントエンドで比較対象にする"
"Compare","比較する"
"Compare Products","商品の比較"
"Conditions Combination","条件の組み合わせ"
"Configurable Product","コンフィグ商品"
"Configurable Product Settings","比較可能な商品設定"
"Configure Product","商品を構成する"
"Continue","続ける"
"Copy From Configurable","コンフィグ商品からコピー"
"Country/State","都道府県"
"Create","作成"
"Create (Upload)","作成 (アップロード)"
"Create Empty","空を作成"
"Create Permanent Redirect for URLs if URL Key Changed","URLが変更されたら恒久的なリダイレクト設定を作成する"
"Create Permanent Redirect for old URL","古いURLに対する恒久的なリダイレクトを作成する"
"Create Product Settings","商品設定を作成する"
"Create Simple Associated Product","関連するシンプル商品を作成"
"Create attribute set based on another set","他のセットを元にしてセットを作成する"
"Create new attribute","属性の作成"
"Create new category","カテゴリの新規作成"
"Create new product","商品新規作成"
"Cross-sells","クロスセル商品"
"Currently Shopping by:","現在の検索条件:"
"Custom Design","カスタムデザイン"
"Custom Options","カスタムオプション"
"Custom options","カスタムオプション"
"Customer Group","顧客グループ"
"Customers Reviews","顧客のレビュー"
"Customers Tagged Product","商品にタグをつけた顧客"
"Data Type for Saving in Database","データベースに保存するデータタイプ"
"Date & Time Custom Options","日付と時間のオプション"
"Date Fields Order","日付入力欄の形式"
"Date Subscribed","購読日"
"Datetime","日時"
"Decimal","10進数"
"Declare attribute value saving scope","属性値の保存スコープを定義"
"Default ""What's This"" Text Message","標準の ""これは何ですか"" メッセージ"
"Default Popup Text Message","標準のポップアップメッセージ"
"Default Price","標準の価格"
"Default Price Navigation Step","標準の価格ナビゲーション区切り"
"Default Qty","標準個数"
"Default Values","標準の値"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","基本通貨スコープの定義 (""通貨セットアップ"" > ""通貨オプション"" > ""基本通貨"")."
"Delete","削除"
"Delete Attribute","属性の削除"
"Delete Attribute Set","属性セットの削除"
"Delete Category","カテゴリの削除"
"Delete Group Price","グループ価格の削除"
"Delete Option","オプションの削除"
"Delete Row","行の削除"
"Delete Search","検索の削除"
"Delete Selected Group","選択したグループの削除"
"Delete Tier","階層の削除"
"Delete attribute","属性の削除"
"Delete category","カテゴリの削除"
"Delete product","商品の削除"
"Depends on design theme","デザインテーマ依存"
"Design","デザイン"
"Details","詳細"
"Disabled","無効"
"Disallowed file type.","許可しない拡張子"
"Display Actual Price","実際の価格を表示"
"Display Price Interval as One Price","価格範囲を1つの価格で表示する"
"Display Product Count","商品点数を表示"
"Display Type","表示方法"
"Display in Suggested Terms","お勧め文内に表示"
"Double click on a group to rename it","ダブルクリックしてグループをリネームします"
"Double click on above image to view full picture","ダブルクリックすると大きな画像を表示します。"
"Downloadable Information","ダウンロード情報"
"Duplicate","複製"
"Duplicate website group price customer group.","ウェブサイトグループ価格と顧客グループを複製する"
"Duplicate website tier price customer group and quantity.","ウェブサイトの価格階層設定を顧客グループと数量で複製する"
"Duplicate website, country and state tax found.","ウェブサイト、国、税の重複があります。"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例 {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}。 ダイナミックディレクティブはカタログのパフォーマンスに影響を及ぼします。"
"Edit","編集"
"Edit Attribute Set '%s'","属性セット '%s'を編集"
"Edit Product Attribute","商品属性の編集"
"Edit Product Attribute ""%s""","商品属性 ""%s""を編集"
"Edit Search","検索の編集"
"Edit Search '%s'","検索'%s'の編集"
"Edit Set Name","セット名編集"
"Email","Eメール"
"Email to a Friend","友達にメールを送る"
"Empty","空"
"Enable MAP","MAPを有効にする"
"Enable Qty Increments","個数の増分を許可する"
"Enable WYSIWYG","WYSIWYGエディタを有効にする"
"Enabled","有効"
"Error during retrieval of option value: %s","オプションの値を取得中にエラーが発生しました: %s"
"Exclude","除外"
"Expand All","すべて展開する"
"Failed","失敗"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","%s のファイルコピーに失敗しました。ファイルを削除してやり直してください。"
"Failed to move file: %s","ファイルの移動に失敗しました。: %s"
"Feature Products","商品の特徴"
"Field is not complete","フィールドは完了していません"
"File options format is not valid.","ファイルオプションの形式が正しくありません。"
"File upload failed","ファイルアップロード失敗"
"Filter model name must be declared.","フィルタモデル名を定義してください。"
"Filter must be an object. Please set correct filter.","フィルタはオブジェクトです。正しいフィルタをセットしてください。"
"Filterable (no results)","フィルタ可能 (結果なし)"
"Filterable (with results)","フィルタ可能 (結果あり)"
"First Name","名"
"Fixed","固定"
"For internal use.","システム内部でのみ使用する。"
"For the last time placed.","最終検索結果件数"
"Frontend","フロントエンド"
"Frontend Model","フロントエンドモデル"
"Frontend Properties","フロントエンドプロパティ"
"Gallery","ギャラリー"
"General Information","総合情報"
"Get full information about attribute with list of options","オプション一覧つきの属性の完全な情報を取得"
"Get full information about custom option in product","カスタムオプションの完全な情報を取得"
"Get list of available custom option types","利用可能なカスタムオプションの一覧を取得"
"Get list of non-default attributes by product type and attributes set","商品種別と属性セットで標準でない属性リストを取得"""
"Get list of possible attribute types","利用可能な属性タイプ一覧を取得"
"Get special price","特別価格を得る"
"Global","全般"
"Globally Editable","全体で編集可能"
"Go to Home Page","ホームへ"
"Grid","グリッド"
"Group add","グループ追加"
"Group remove","グループ削除"
"Grouped Product","グループ化商品"
"Groups","グループ"
"Home","ホーム"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","もし空白の場合はカテゴリ名が使用されます。"
"If empty, the Product Name will be used","空白の場合は商品名が使用されます"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","特定のストアビューで値を指定しない場合、標準（管理ページ）の値が使用されます。"
"Image","画像"
"Image content is not valid base64 data.","画像が不正なBASE64データを含んでいます。"
"Image does not exist.","画像がありません。"
"Image file was not found.","画像ファイルが存在しません。"
"Image type and information need to be specified for each store view.","画像タイプと情報はそれぞれのストアビューで指定する必要があります。"
"In Cart","カートの中"
"In Stock","在庫あり"
"In stock","在庫あり"
"Incl. Tax","税込"
"Index product and categories URL rewrites","商品とカテゴリとURL書き換えのインデックス"
"Index product attributes for layered navigation building","階層ナビゲーション構築のための商品属性インデックス"
"Index product prices","商品価格インデックス"
"Indexed category/products association","カテゴリ/商品の関連インデックス"
"Info","情報"
"Info Column Options Wrapper","情報列オプションラッパー"
"Input Type","入力形式"
"Integer","整数"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","不正な価格階層"
"Invalid attribute %s","不正な属性 %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","不正な属性オプションが属性 %s (%s)に指定されました。行をスキップしています。"
"Invalid attribute set specified, skipping the record.","不正な属性セットが指定されました。行をスキップしています。"
"Invalid block: %s.","不正なブロックです: %s"
"Invalid category IDs.","不正なカテゴリIDです。"
"Invalid category.","不正なカテゴリです。"
"Invalid image file type.","不正な画像の形式です。"
"Invalid image type.","不正な画像形式です"
"Invalid option ID specified for %s (%s), skipping the record.","%s (%s)に不正なオプションIDが指定されました。対象のデータをスキップします。"
"Invalid product type specified, skipping the record.","不正な商品種別が指定されました。対象のデータをスキップします。"
"Invalid store specified","不正なストア特定"
"Invalid store specified, skipping the record.","不正な店舗が指定されました。レコードをスキップしています。"
"Invalid tier prices. The product is not associated to the requested website.","不正な価格階層です。この商品は指定のウェブサイトに関連付けられていません。"
"Inventory","在庫"
"Is Default","デフォルト"
"Is Required","必須"
"Items %s to %s of %s total","%s件～%s件 (全%s件)"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","カタログ、検索結果に表示したくない商品は希望のストアでステータスを""無効""にしてください。"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","カタログ、検索結果に表示したくない商品は希望のストアでステータスを""無効""にしてください。"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","ラベル"
"Last Name","姓"
"Last Notification","最終通知"
"Layered Navigation","階層ナビゲーション"
"Learn More","もっと知る"
"Line %d, Email: %s","ライン %d, Eメール: %s"
"Line %d, SKU: %s","ライン %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","関連商品 (おすすめ, アップセル, クロスセル)"
"Link product does not exist.","リンクする商品がありません。"
"Link to a Specified Category","特定のカテゴリにひもづける"
"Link to a Specified Product","指定商品にリンク"
"List","リスト"
"List Mode","リストモード"
"List of Products that are set as New","新着商品リスト"
"List of types","種類のリスト"
"Manage Attribute Sets","属性セット管理"
"Manage Attributes","属性管理"
"Manage Catalog Categories","カタログカテゴリ管理"
"Manage Categories","カテゴリ管理"
"Manage Label / Options","ラベル/オプション管理"
"Manage Options (values of your attribute)","オプション管理 (属性の値)"
"Manage Product Attributes","商品属性管理"
"Manage Product Sets","商品セット管理"
"Manage Products","商品管理"
"Manage Stock","在庫管理"
"Manage Titles (Size, Color, etc.)","タイトル管理(サイズ,色, etc.)"
"Max Characters","最大文字数"
"Maximal Depth","最大階層"
"Maximum Image Size","最大画像サイズ"
"Maximum Number of Price Intervals","価格ステップの最大数"
"Maximum Qty Allowed in Shopping Cart","カートに入る最大個数"
"Maximum allowed image size for '%s' is %sx%s px.","使用できる'%s'の最大画像サイズは %sx%s pxです。"
"Maximum image height","画像の最大高さ"
"Maximum image width","画像の最大幅"
"Maximum number of characters:","最大文字数:"
"Maximum number of price intervals is 100","価格ステップの最大数は100です"
"Media Image","メディアイメージ"
"Minimum Advertised Price","希望小売価格"
"Minimum Lines per Page","ページあたりの最低行数"
"Minimum Qty Allowed in Shopping Cart","カートに入る最小個数"
"Minimum Qty for Item\'s Status to be Out of Stock","商品の状態を在庫切れとする最低数"
"Missing SKU, skipping the record.","SKUがありません、レコードをスキップします。"
"More Views","もっと見る"
"Move","移動"
"Move category in tree","カテゴリをツリー内で移動する"
"Must be in the allowed values list.","許可された値の範囲でなければいけません。"
"N/A","該当無し"
"Name","名前"
"Name in %s","%sでの名称"
"New Product","新規商品"
"New Product Attribute","新規商品属性"
"New Products","新商品"
"New Products Grid Template","新着商品グリッドテンプレート"
"New Products List Template","新着商品リストテンプレート"
"New Root Category","新しいルートカテゴリ"
"New Search","新規検索条件"
"New Set Name","新規セット名"
"New Subcategory","新しいサブカテゴリ"
"Next","次へ"
"No","No"
"No image","画像なし"
"No layout updates","更新するレイアウトがありません"
"No options of this product are available.","利用可能なオプションがありません。"
"No product collections found.","商品コレクション見つかりません。"
"None","なし"
"Not Visible Individually","非表示"
"Notify Low Stock RSS","在庫僅か通知RSS"
"Notify for Quantity Below","以下の数量以下になれば通知"
"Number of Products to Display","商品表示点数"
"Uses","使用数"
"Number of results","結果"
"Number of results (For the last time placed)","結果 (最新の結果)"
"OK","OK"
"OR","または"
"Old Price:","旧価格:"
"On Gesture","操作で"
"Option validation failed to add product to cart.","商品をカートに入れる際のオプション選択検証に失敗しました。"
"Option values","オプション値"
"Option:","オプション:"
"Options","オプション"
"Options Control","オプション管理"
"Options is required","必須のオプション"
"Our customer service is available 24/7. Call us at (555) 555-0123.","お客様センターは24時間年中無休です。 (555) 555-0123までお電話をお願いします。"
"Out of Stock","在庫切れ"
"Out of stock","在庫切れ"
"PM","PM"
"Page Title Separator","ページタイトル区切文字"
"Parent Category","親カテゴリ"
"Pending","処理待ち"
"Pending Reviews RSS","承認待ちレビューRSS"
"Percentage","割合"
"Please add rows to option.","オプションに行を加えてください。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","列上でクリックしないように気をつけてください。選択されたパッケージデータフォームはロードされ、保存されていないフォームデータは失われてしまいます。"
"Please click on the Close Window button if it is not closed automatically.","自動でウインドウが閉じない場合は閉じるボタンをクリックしてください。"
"Please enter a new group name","新しいグループの名前を入力してください"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System ->  <a href=""%s"">Index Management</a>","""カタログURL書換え"" と ""商品属性を"" システム ->  <a href=""%s"">インデックス管理</a> からリフレッシュしてください"
"Please select a static block ...","静的ブロックを選択してください..."
"Please select items.","アイテムを選択してください。"
"Please select one or more attributes.","ひとつ以上の属性を選択してください"
"Please select product(s).","商品を選択してください。"
"Please select products for attributes update","更新対象の商品属性を選択してください"
"Please set up merge date/time","Please set up merge date/time"
"Please set up merge date/time later then present date","Please set up merge date/time later then present date"
"Please specify date required option(s).","日付の必須オプションを指定してください。"
"Please specify the number of products, that will not be divided into subintervals.","下階層の価格帯の中で価格帯を区切らないための商品数を指定してください。"
"Please specify the product required option(s)","商品の必須オプションを指定してください"
"Please specify the product required option(s).","商品の必須オプションを指定してください。"
"Please specify the product\'s option(s).","商品のオプションを指定してください。"
"Please specify the product\'s required option(s).","商品の必須オプションを指定してください。"
"Please specify the quantity of product(s).","商品の個数を指定してください。"
"Please specify time required option(s).","時間の必須項目を指定してください。"
"Please wait...","しばらくお待ちください。。"
"Position","おすすめ"
"Position in Layered Navigation","階層ナビゲーション内の位置"
"Position of attribute in layered navigation block","レイアウトナビゲーションブロックの位置属性"
"Prev","前へ"
"Previous","前へ"
"Price","価格"
"Price Navigation Step Calculation","価格ナビゲーション計算区切り"
"Price Type","価格タイプ"
"Price is not available","価格は利用できません"
"Price values for options should be specified in system base currency.","価格オプションはシステム基準通貨で指定する必要があります。"
"Price:","価格:"
"Price: %s","価格: %s"
"Print This Page","ページを印刷する"
"Product","商品"
"Product API","商品API"
"Product Alerts","商品アラート"
"Product Attribute","商品属性"
"Product Attributes","商品の属性"
"Product Categories","商品カテゴリ"
"Product Description","商品説明"
"Product Extra Info","商品追加情報"
"Product Flat Data","商品フラットデータ"
"Product ID","商品ID"
"Product Image Placeholders","商品画像プレースホルダ"
"Product Image Watermarks","商品画像ウオーターマーク"
"Product Images","商品画像"
"Product Images API","商品画像API"
"Product In Websites","ウェブサイト内の商品"
"Product Info Column","商品情報行"
"Product Information","商品情報"
"Product Link Block Template","商品リンクブロックテンプレート"
"Product Link Inline Template","商品インラインリンクテンプレート"
"Product Listing Sort by","商品リスト表示の表示順"
"Product Name","商品名"
"Product Prices","商品価格"
"Product Reviews","商品レビュー"
"Product Tags","商品タグ"
"Product Tier Price API","商品価格階層API"
"Product Type","商品種別"
"Product URL Suffix","商品URL拡張子"
"Product View Extra Hint","商品拡張表示ヒント"
"Product attribute sets API","商品属性セットAPI"
"Product attributes API","商品属性API"
"Product collection expected.","商品コレクションを指定してください。"
"Product is not loaded","商品が読み込まれていません。"
"Product links API (related, cross sells, up sells)","商品関連API (おすすめ,クロスセル,アップセル)"
"Product name","商品名"
"Product types API","商品種別API"
"Product with this combination of attributes already associated to configurable.","この属性の組み合わせの商品はすでに作成されています"
"Products","商品"
"Products Comparison List","比較リスト"
"Products Information","商品情報"
"Products Reviews","商品レビュー"
"Products Sitemap","商品サイトマップ"
"Products only","商品のみ"
"Products per Page on Grid Allowed Values","商品グリッド表示で使用できる候補"
"Products per Page on Grid Default Value","商品グリッド表示のデフォルト値"
"Products per Page on List Allowed Values","商品リスト表示の表示件数候補"
"Products per Page on List Default Value","商品リスト表示でのデフォルト値"
"Properties","プロパティ"
"Qty","個数"
"Qty Increments","個数の増分"
"Qty Uses Decimals","個数に小数表記を使う"
"Qty for Item\'s Status to Become Out of Stock","商品がが在庫切れになりそうです"
"Qty:","個数:"
"Quantity","個数"
"Quick Create","クイック作成"
"Quick Overview","クイックビュー"
"Quick simple product creation","簡易シンプル商品作成"
"Records for ""","""のレコード"
"Redirect","リダイレクト"
"Redirect URL","リダイレクトURL"
"Regular Price:","通常価格:"
"Related Products","関連する商品"
"Remove","削除"
"Remove Product From Websites","ウェブサイトから商品を削除"
"Remove This Item","この商品を削除する"
"Remove attribute from attribute set","属性セットから属性を削除"
"Remove attribute set","属性セットを削除"
"Remove custom option","カスタムオプションを削除"
"Remove group from attribute set","属性セットのグループを削除"
"Remove option","オプションの削除"
"Remove product assignment","削除商品の削除"
"Remove product image","商品画像の削除"
"Remove product link","商品関連の削除"
"Remove value from custom option","カスタムオプションの値を削除"
"Rename existing group","既にあるグループの名前を変更"
"Rename group","グループ名変更"
"Reorganize EAV category structure to flat structure","EAVカテゴリストラクチャをフラットストラクチャに変換したインデックス"
"Reorganize EAV product structure to flat structure","EAV商品ストラクチャをフラットストラクチャに変換したインデックス"
"Reset","リセット"
"Results","結果"
"Retrieve attribute data","属性データを取得"
"Retrieve attribute list","属性リストの取得"
"Retrieve attribute options","属性オプションの取得"
"Retrieve categories tree","カテゴリーツリーを取得"
"Retrieve category attributes","カテゴリ属性の取得"
"Retrieve category data","カテゴリデータの取得"
"Retrieve hierarchical tree","階層ツリーの取得"
"Retrieve linked products","関連商品の取得"
"Retrieve list of assigned products","割り当て済み商品リストの取得"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","カスタムオプションの一覧を取得"
"Retrieve one level of categories by website/store view/parent category","ウェブサイト/店舗 ビュー/親カテゴリの1階層カテゴリの取得"
"Retrieve option value info","オブションの値を取得"
"Retrieve product","商品の取得"
"Retrieve product attribute sets","商品属性セットの取得"
"Retrieve product image","商品画像の取得"
"Retrieve product image list","商品画像リストの取得"
"Retrieve product image types","商品画像タイプの取得"
"Retrieve product link type attributes","商品関連属性の取得"
"Retrieve product link types","商品関連タイプの取得"
"Retrieve product tier prices","商品価格階層の取得"
"Retrieve product types","商品種別の取得"
"Retrieve products data","商品データを取得"
"Retrieve products list by filters","フィルタによる商品リストの取得"
"Reviews","レビュー"
"Roll Over for preview","ロールオーバーしてプレビュー"
"Root","ルート"
"SKU","商品番号"
"SKU length should be %s characters maximum.","SKU の長さは %s 文字以下でなければなりません。"
"Save","保存"
"Save Attribute","保存"
"Save Attribute Set","保存"
"Save Category","保存"
"Save Search","検索の保存"
"Save and Continue Edit","保存して編集を続ける"
"Saved %d record(s)","%d 件保存しました。"
"Scope","スコープ"
