All,Todos
"If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>."
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"There are no customers for this alert.","Não há clientes para este alerta."
"Subscribe Date","Data de inscrição"
"Last Notified","Última Notificação"
"Send Count","Enviar Contagem"
"New Attribute","New Attribute"
"Attribute Set","Conjunto de Atributos"
"Add New Option","Adicione Nova Opção"
"Import Options","Import Options"
Import,Import
"Add New Row","Adicionar Nova Linha"
"Delete Row","Excluir linha"
"Tier Pricing","Preços por Nível"
"Default Price","Preço padrão"
"Add Group Price","Adicionar preço de grupo"
"ALL GROUPS","TODOS OS GRUPOS"
"Add Tier","Adicionar Camada"
"Default Values","Valores padrão"
"Related Products","Produtos Relacionados"
Up-sells,"Vendas Extras"
Cross-sells,"Vendas Cruzadas"
"Size for %1","Size for %1"
"Watermark File for %1","Watermark File for %1"
"Position of Watermark for %1","Position of Watermark for %1"
"Name in %1","Name in %1"
"Notify Low Stock RSS","Notificar RSS de Estoque Baixo"
"Change status","Alterar status"
"Update Attributes","Atualização de Atributos"
"Click here or drag and drop to add images","Click here or drag and drop to add images"
"Delete image","Delete image"
"Make Base","Make Base"
Hidden,Hidden
"Image Management","Image Management"
"start typing to search category","start typing to search category"
"New Category","New Category"
"Add New Images","Adicionar Novas Imagens"
"Inc. Tax","Inc. Tax"
lbs,lbs
"Add New Search Term","Adicionar Novo Termo de Busca"
"Save Search","Salvar Busca"
"Delete Search","Excluir pesquisa"
"Edit Search '%1'","Edit Search '%1'"
"New Search","Nova Busca"
"Search Information","Buscar Informações"
"Search Query","Palavras-Chave da Busca"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Colocados pela última vez)"
"For the last time placed.","Colocado pela última vez."
"Number of Uses","Number of Uses"
"Synonym For","Sinónimo Para"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Redirect URL","Redirecionar URL"
"ex. http://domain.com","ex. http://domínio.com"
"Display in Suggested Terms","Exibir em Termos Sugeridos"
"Go to Home Page","Ir para Página Inicial"
"%1 RSS Feed","%1 RSS Feed"
"Products Comparison List","Lista de Comparação de Produtos"
AM,AM
PM,PM
Categories,Categorias
"Manage Catalog Categories","Gerenciar Categorias de Catálogo"
"Manage Categories","Gerenciar Categorias"
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"Unable to save the category","Unable to save the category"
"You saved the category.","You saved the category."
"There was a category move error.","There was a category move error."
"There was a category move error %1","There was a category move error %1"
"You deleted the category.","You deleted the category."
"Something went wrong while trying to delete the category.","Something went wrong while trying to delete the category."
"This product no longer exists.","Este produto não existe mais."
"Unable to save product","Unable to save product"
"You saved the product.","You saved the product."
"SKU for product %1 has been changed to %2.","SKU for product %1 has been changed to %2."
"You duplicated the product.","You duplicated the product."
"Please select product(s).","Por favor selecione produto(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the product(s) status.","Something went wrong while updating the product(s) status."
"Please make sure to define SKU values for all processed products.","Please make sure to define SKU values for all processed products."
"Please refresh "Product EAV" in System -> <a href="%1">Index Management</a>.","Please refresh "Product EAV" in System -> <a href="%1">Index Management</a>."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Please select products for attributes update.","Please select products for attributes update."
"Manage Product Attributes","Gerenciar Atributos do Produto"
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","Este atributo não pode ser editado."
"Edit Product Attribute","Editar Atributo do Produto"
"An attribute with this code already exists.","An attribute with this code already exists."
"Attribute with the same code (%1) already exists.","Attribute with the same code (%1) already exists."
"Attribute Set with name '%1' already exists.","Attribute Set with name '%1' already exists."
"Something went wrong saving the attribute.","Something went wrong saving the attribute."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter."
"You can't update your attribute.","You can't update your attribute."
"You saved the product attribute.","You saved the product attribute."
"This attribute cannot be deleted.","Este atributo não pode ser apagado."
"The product attribute has been deleted.","O atributo do produto foi eliminado."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"Something went wrong while saving this group.","Something went wrong while saving this group."
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"New Set","New Set"
"Manage Product Sets","Gerenciar Conjuntos de Produtos"
"This attribute set no longer exists.","Este conjunto de atributos não existe mais."
"You saved the attribute set.","You saved the attribute set."
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar o conjunto de atributos."
"New Product Template","New Product Template"
"The attribute set has been removed.","The attribute set has been removed."
"An error occurred while deleting this set.","An error occurred while deleting this set."
"Search Terms","Search Terms"
"This search no longer exists.","Esta pesquisa não existe mais."
"Edit Search","Editar Pesquisa"
"You already have an identical search term query.","You already have an identical search term query."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You deleted the search.","You deleted the search."
"We can't find a search term to delete.","We can't find a search term to delete."
"Please select catalog searches.","Please select catalog searches."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You removed product %1 from the comparison list.","You removed product %1 from the comparison list."
"You cleared the comparison list.","You cleared the comparison list."
"Something went wrong  clearing the comparison list.","Something went wrong  clearing the comparison list."
"To see product price, add this item to your cart. You can always remove it later.","Para ver o preço do produto, adicione este item ao seu carrinho. Você pode sempre removê-lo mais tarde."
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"The product is not loaded.","The product is not loaded."
"Invalid attribute %1","Invalid attribute %1"
"Field ""%1"" was not found in DO ""%2"".","Field ""%1"" was not found in DO ""%2""."
Grid,Grade
List,Lista
"Product is not loaded","O produto não está carregado"
"Bad controller interface for showing product","Bad controller interface for showing product"
"Sorry, but we can't move the category because we can't find the new parent category you selected.","Sorry, but we can't move the category because we can't find the new parent category you selected."
"Sorry, but we can't move the category because we can't find the new category you selected.","Sorry, but we can't move the category because we can't find the new category you selected."
"We can't perform this category move operation because the parent category matches the child category.","We can't perform this category move operation because the parent category matches the child category."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates","Nenhuma atualização de disposição (layout)"
"Products only","Somente produtos"
"Static block only","Só bloco estático"
"Static block and products","Bloco estático e produtos"
"Please select a static block.","Please select a static block."
frontend_label,frontend_label
"-- Please Select a Category --","-- Please Select a Category --"
"Grid Only","Grid Only"
"List Only","List Only"
"Grid (default) / List","Grid (default) / List"
"List (default) / Grid","List (default) / Grid"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
Manual,Manual
"-- Please select --","-- Please select --"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","Parent Product Thumbnail"
"12h AM/PM","12h AM/PM"
24h,24h
Stretch,Extensão
Tile,Empilhar
Top/Left,Topo/Esquerdo
Top/Right,Topo/Direita
Bottom/Left,Fundo/Esquerdo
Bottom/Right,Fundo/Direito
Center,Centro
"Could not rebuild index for undefined product","Could not rebuild index for undefined product"
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","Unsupported product type ""%1""."
"Index product and categories URL Rewrites","Index product and categories URL Rewrites"
"The category must be an instance of \Magento\Catalog\Model\Category.","The category must be an instance of \Magento\Catalog\Model\Category."
"Please correct the category.","Please correct the category."
"The attribute model is not defined.","The attribute model is not defined."
Category,Categoria
"%1 - %2","%1 - %2"
"The filter must be an object. Please set correct filter.","The filter must be an object. Please set correct filter."
"%1 and above","%1 and above"
"Clear Price","Limpar preço"
"The filters must be an array.","Os filtros devem estar por ordem."
"We found a duplicate website group price customer group.","We found a duplicate website group price customer group."
"Group price must be a number greater than 0.","Group price must be a number greater than 0."
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"Please enter a number 0 or greater in this field.","Please enter a number 0 or greater in this field."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU length should be %1 characters maximum."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Use config","Use config"
"In Cart","No Carrinho"
"Before Order Confirmation","Antes de Confirmação de Ordem"
"On Gesture","Sobre Gesticulação"
"We can't find the image file.","We can't find the image file."
"Index product attributes for layered navigation building","Índice de atributos de produtos para construção em camadas de navegação"
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Selecione as linhas de valores exigidas para opções de tipo."
"Please specify date required option(s).","Favor especificar opção(ões) obrigatória(s) para data."
"Please specify time required option(s).","Favor especificar opção(ões) obrigatória(s) para hora."
"Please specify the product's required option(s).","Por favor especifique a(s) opção/opções necessária(s) do produto."
"The option instance type in options group is incorrect.","The option instance type in options group is incorrect."
"The product instance type in options group is incorrect.","The product instance type in options group is incorrect."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We couldn't add the product to the cart because of an option validation issue.","We couldn't add the product to the cart because of an option validation issue."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"The file '%1' for '%2' has an invalid extension.","The file '%1' for '%2' has an invalid extension."
"Maximum allowed image size for '%1' is %2x%3 px.","Maximum allowed image size for '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","The file '%1' you uploaded is larger than the %2 megabytes allowed by our server."
px.,px.
"The file options format is not valid.","The file options format is not valid."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"The text is too long.","The text is too long."
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Not Visible Individually","Não Visível Individualmente"
"Catalog, Search","Catálogo, Busca"
"Something went wrong removing products from the websites.","Something went wrong removing products from the websites."
"Something went wrong adding products to websites.","Something went wrong adding products to websites."
"Attribute '%1' is locked. ","Attribute '%1' is locked. "
"Do not change the scope. ","Do not change the scope. "
"We found an unknown EAV indexer type ""%1"".","We found an unknown EAV indexer type ""%1""."
"A product type is not defined for the indexer.","Um tipo de produto não está definido para o indexador."
"Something went wrong saving the URL rewite.","Something went wrong saving the URL rewite."
"Multiple Select","Multiple Select"
Dropdown,Dropdown
"Please specify either a category or a product, or both.","Please specify either a category or a product, or both."
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"As low as:","A partir de:"
"Are you sure you want to delete this category?","Tem certeza de que quer apagar esta categoria?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Collapse All","Fechar Tudo"
"Expand All","Expandir Todos"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (Tamanho, Cor etc.)"
"Manage Options (values of your attribute)","Gerenciar Opções (valores de seu atributo)"
"Is Default","É padrão"
"Add Option","Add Option"
"Sort Option","Sort Option"
Groups,Grupos
"Double click on a group to rename it","Dê um duplo clique em um grupo para renomeá-lo"
"Unassigned Attributes","Atributos Não Atribuídos"
"A name is required.","A name is required."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém atributos do sistema. Por favor mova atributos do sistema para outro grupo e tente novamente."
"Please enter a new group name.","Please enter a new group name."
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"We're unable to complete this request.","We're unable to complete this request."
"You cannot remove system attributes from this set.","You cannot remove system attributes from this set."
"Custom Options","Personalizar Opções"
"This is a required option.","This is a required option."
"Field is not complete","O campo está incompleto."
"Allowed file extensions to upload","Extensões de arquivo permitidas para upload"
"Maximum image width","Largura máxima da imagem"
"Maximum image height","Altura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock","Gerenciar Estoque"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
Backorders,"Ordens em Atraso"
"Notify for Quantity Below","Notificar em Caso de Quantidade Abaixo"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability","Disponibilidade de Estoque"
"In Stock","No Estoque"
"Out of Stock",Esgotado
"Add Product To Websites","Adicionar Produto a Websites"
"Remove Product From Websites","Remover Produto dos Websites"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer mostrar no catálogo ou resultados da pesquisa devem ter status de ""Inválido"" na loja desejada."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"Delete Custom Option","Delete Custom Option"
"Sort Custom Options","Sort Custom Options"
"Allowed File Extensions","Extensões de Arquivo Permitidas"
"Maximum Image Size","Tamanho Máximo de Imagem"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","Please leave blank if it is not an image."
"Sort Custom Option","Sort Custom Option"
"Max Characters","Máx. de Caracteres"
"Customer Group","Grupo de Clientes"
"Delete Group Price","Excluir preço de grupo"
"Item Price","Item Price"
"and above","e acima"
"Delete Tier","Excluir camada"
"Product In Websites","Produto Em Websites"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer mostrar no catálogo ou resultados da pesquisa devem ter status de ""Inválido"" na loja desejada."
"(Copy data from: %1)","(Copy data from: %1)"
"Remove Image","Remove Image"
"Alt Text","Alt Text"
Role,Role
"Hide from Product Page","Hide from Product Page"
"Close panel","Close panel"
"Regular Price:","Preço Normal:"
"Special Price:","Preço Especial:"
"Product Alerts","Alertas de Produto"
"Can be Divided into Multiple Boxes for Shipping","Pode ser dividido em várias caixas para envio"
"Basic Settings","Basic Settings"
"Advanced Settings","Advanced Settings"
"Select Product Actions","Select Product Actions"
"Price as configured:","Price as configured:"
"Click for price","Clique para o preço"
"What's this?","O que é isso?"
"Buy %1 for: ","Buy %1 for: "
"Buy %1 for %2","Buy %1 for %2"
each,cada
and,e
save,salvar
"Actual Price","Preço Real"
"Shop By","Comprar Por"
"Shopping Options","Opções de Compra"
"Compare Products","Comparar Produtos"
"1 item","1 item"
"%1 items","%1 items"
"Print This Page","Imprimir Esta Página"
"Remove Product","Remove Product"
"Add to Wishlist","Adicionar à Lista de Desejos"
"You have no items to compare.","Você não tem itens para comparar."
"Are you sure you would like to remove this item from the compare products?","Tem certeza de que deseja remover este item dos produtos comparados?"
"Are you sure you would like to remove all products from your comparison?","Tem certeza de que gostaria de remover todos os produtos de sua comparação?"
"Remove This Item","Remover Este Item"
Compare,Comparar
"Clear All","Limpar Todos"
Prev,Prev
"There are no products matching the selection.","Não há produtos que correspondam à seleção."
"Add to Compare","Adicionar para Comparar"
"Learn More","Saiba Mais"
"You may also be interested in the following product(s)","Você também pode se interessar no(s) seguinte(s) produto(s)"
"More Choices:","More Choices:"
"New Products","Novos Produtos"
"Check items to add to the cart or","Verificar itens a ser adicionados ao carrinho ou"
"select all","marcar todos"
"View as","Ver como"
"Sort By","Classificar Por"
"Set Ascending Direction","Ajustar Direção como Crescente"
"Set Descending Direction","Ajustar Direção como Decrescente"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
Show,Mostrar
"Additional Information","Informações Adicionais"
"More Views","Mais Visualizações"
"Click on image to view it full sized","Click on image to view it full sized"
"Click on image to zoom","Click on image to zoom"
"Email to a Friend","Enviar por e-mail a um amigo"
Details,Detalhes
Template,Modelo
"File extension not known or unsupported type.","File extension not known or unsupported type."
"Configure Product","Configure Product"
"Select type of option.","Select type of option."
"Please add rows to option.","Por favor adicione linhas à opção."
"Select Product","Select Product"
"Choose existing category.","Choose existing category."
"Create Category","Create Category"
"unselect all","desmarcar todos"
"Maximal Depth","Maximal Depth"
"Anchor Custom Text","Texto âncora personalizado"
"Anchor Custom Title","Título âncora personalizado"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
Frontend,Frontend
"List Mode","List Mode"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
Comma-separated.,Comma-separated.
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Product Listing Sort by","Product Listing Sort by"
"Allow All Products per Page","Allow All Products per Page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Product Image Placeholders"
"Search Engine Optimization","Search Engine Optimization"
"Category URL Suffix","Category URL Suffix"
"You need to refresh the cache.","You need to refresh the cache."
"Product URL Suffix","Product URL Suffix"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Page Title Separator","Page Title Separator"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Catalog Price Scope","Catalog Price Scope"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Category Top Navigation"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Date Fields Order","Date Fields Order"
"Time Format","Time Format"
"Year Range","Year Range"
"Please use a four-digit year format.","Please use a four-digit year format."
"Product Image Watermarks","Product Image Watermarks"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
Watermark,Watermark
"Watermark Position","Watermark Position"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Minimum Advertised Price","Minimum Advertised Price"
"Enable MAP","Enable MAP"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end."
"Display Actual Price","Display Actual Price"
"Default Popup Text Message","Default Popup Text Message"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Product Flat Data","Dados Base de Produto"
"Reorganize EAV product structure to flat structure","Reorganizar estrutura EAV de produto como estrutura simplificada"
"Category Flat Data","Dados da Categoria Base"
"Reorganize EAV category structure to flat structure","Reorganizar estrutura de categorias EAV como estrutura simplificada"
"Indexed category/products association","Associação de categoria/produtos indexados"
"Product Categories","Categoria de Produtos"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Product Price"
"Index product prices","Preços de produtos de índice"
"Catalog New Products List","Lista de Novos Produtos de Catálogo"
"List of Products that are set as New","Lista de Produtos definidos como Novos"
"Display Type","Display Type"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products","All products"
"New products","New products"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Número de Produtos a Ser Exibidos"
