"Abandoned Carts","Carritos Dejados"
"Refresh Statistics","Actualiza estadísticas"
"Refresh Statistics for the Last Day","Actualiza estadísticas del último día"
"Refunds","Reembolsos"
"Report","Informe"
"Reports","Informes"
"Results","Resultados"
"Revenue","Ingresos"
"Review","Revisión"
"Reviews","Reseñas"
"Reviews for %s","Reajustes del %s"
"Sales","Ventas"
"Sales Report","Informe de ventas"
"Search Query","Query de Búsqueda"
"Search Terms","Términos de búsqueda"
"Select day of the month.","Selecciona día del mes"
"Shipping","Transporte"
"Shopping Cart","Cesta de la Compra"
"Shopping Cart Price Rule","Regla del precio del carrito de la compra."
"Show Actual Values","Muestra los valores actuales"
"Show Report","Muestra el informe"
"Show for Current","Muestra los actuales"
"Specified","Especificado"
"Statistics","Estadísticas"
"Stock Qty","Cantidad de existencias"
"Submitted In","Presentados en"
"Submitted On","Presentados a"
"Subtotal","Subtotal"
"Tag","Etiqueta"
"Tag ""%s"" details","Datos de la pestaña""%s"""
"Tag Detail","Detalle de etiqueta"
"Tag Name","Nombre de la etiqueta"
"Tag Use","Uso de etiqueta"
"Tags Submitted by %s","Etiquetas presentadas por %"
"Tags submitted to %s","Estiquetas presentadas a %"
"Tax","Impuestos"
"Title","Título"
"To","Para"
"Total","Total"
"Total Invoiced vs. Paid Report","Total facturado vs. Informe de pagos"
"Total Ordered Report","Informe del total solicitado"
"Total Refunded Report","Informe del total reembolsado"
"Total Shipped Report","Informe del total enviado"
"Total Tags","Total de etiquetas"
"Total invoiced","Total facturado"
"Total refunded","Total reembolsado"
"Updated At","Hora de actualización"
"Viewed Products Grid Template","Ver plantilla de cuadrícula de productos"
"Viewed Products List Template","Plantilla de lista de productos vistos"
"Visible In","Visible en"
"Wishlist Report","Informe de lista de deseos"
"Wishlist vs. Regular Order","Lista de deseos vs. Orden regular"
"Wishlists","Lista de deseos"
"Year","Año"
"Year-To-Date Starts","Arranques desde principios de año hasta la fecha"
"Yes","Sí"
"Your Recently Compared","Lo que ha comparado recientemente"
"Your Recently Viewed","Sus vistas recientes"
"undefined","Indefinido"
