sku,rating_code,rating_value,title,review,reviewer,email
24-MG04,Rating,4,"Not a bad watch for the price","Not a bad watch for the price. Wish it had actual numbers instead of marks, though.",Robert,
24-MG04,Rating,4,"the only watch I wear","Hands down, it's the only watch I wear when I'm out on a run. The strap is soft and smooth, and the face even glows in the dark.",Noe,
24-MG05,Rating,5,"Dual time zone settings","When I'm in another country, I hate not knowing what time it really is back home so the dual time zone settings are awesome!",Frank,
24-MG05,Rating,4,"Really perfect for travel ","Really perfect for my needs. I travel a ton, so I'll always know what time to give my wife a call back home.",Jamie,
24-MG05,Rating,2,"I really like the modern look","I really like the modern look of this watch, but I could only get one time zone to work. I hope it has a warranty because I'm sending it back!",Bobby,
24-MG05,Rating,2,"This watch is so tight","This watch is so tight around my wrist! I don't care if it's adjustable, it cuts off my circulation.",Tommie,
MJ01,Rating,5,"My favorite layers","This is one of my favorite layers for running in the winter, it keeps me warm but it's not super bulky.",Markus,
MJ01,Rating,4,"Weird looking pocket","I where it when I'm coaching football so I can run up and down the sidelines and yell without getting to hot. The pocket on the chest is weird looking tho.",Xavier,
MJ02,Rating,5,"Perfect layer for the game","Perfect layer for wearing to the game, it doesn't shed all over your clothes like a regular hoodie.",Mike,
MJ02,Rating,4,"The fabric is great","the fabric is great, it keeps me warm but it's not bulky like my other hoodies. Runs large, though.",Emory,
MJ03,Rating,2,"This jacket isn't keeping me warm","This jacket isn't keeping me warm",Jon,
MJ03,Rating,2,"I don't feel protected","Not sure exactly what ""elements"" they're talking about here. I don't feel protected from any ""elements"" in this throw-away.",Homer,
MJ03,Rating,4,"avid hiker/snowboarder","I'm an avid hiker/snowboarder and know quality when I see it. Please don't be fooled by the thin feel of this jacket - I always feel very comfortable and only rarely feel too warm, and then it's only because I wear insulating base layers. You will not be disappointed, especially if you're into winter sports or outdoor activities at higher elevations. My only issue with it is the zipper, which broke and had to be replaced.",Wilbur,
MJ04,Rating,5,"Has never let me down","This jacket is going to be by my side for the rest of my life. It's never let me down once in a rainstorm, always keeping me dry as I bike back and forth to work. ",Long,
MJ04,Rating,4,"Practically perferct","I have to say this is a practically perfect rain jacket. I do wish it was heavier though since it only works for me in spring and summer rainstorms. ",Lindsay,
MJ04,Rating,5,"Excellent quality. I actually love","Excellent quality. I actually love when it rains because I get a lot of compliments whenever I wear this jacket. ",Randell,
MJ05,Rating,5,"I absolutely love this jacket","I absolutely love this jacket, and I take it with me on the links every time I go! Believe me, I've been caught in a lot of downpours in my golf days, and this jacket keeps me dry and comfortable every time.",Steven,
MJ05,Rating,2,"This jacket feels like sandpaper","This jacket feels like sandpaper next to my skin.  I don't care-let me get wet!",Dave,
MJ06,Rating,5,"I just live for this track jacket","I just live for this track jacket. Because it's solid, I can put it on over any t-shirt and look really athletic. I may not exercise all the time, but wearing this jacket makes other people think I do!",Wyatt,
MJ06,Rating,3,"Not 100% sure how I feel","Not 100% sure how I feel about this yet so I'm going to number it right in the middle. It keeps me warm but the fleece is kind of itchy. It definitely has to go on top of another layer or you'll spend all day itching!",Glen,
MJ06,Rating,4,"fleece lining","The fleece lining is what sold me! I hate being cold and this jacket really helps me not to be. Almost perfect-the hem slightly unraveled which is preventing me from giving it a 5.",Shon,
MJ07,Rating,2,"I didn't think it was that warm","I didn't think it was that warm at all and it needs a hood. I wouldn't wear it in the winter that's for sure. ",Neal,
MJ07,Rating,3,"for my son to wear to school ","I got this for my son to wear to school and it's treated him very well. Not too bulky and the reversible design is a very nice touch!",Herschel,
MJ08,Rating,3,"Kinda bulky","Kinda bulky when you wear both, but they still let me move ok. Great for football games.",Rudolf,
MJ08,Rating,3,"easy to take apart","I like this one. It's easy to take apart when you want to wear the quilted part and zips back in no problem. If you're a big guy its fits a little tight under the arms though.",Emmett,
MJ08,Rating,4,"does everything it's suppose","This jacket does everything it's supposed to do. Keeps me warm and has lots of room for my stuff. Good buy!",Burl,
MJ09,Rating,4,"Love it; don't have to take off gloves","Love it; don't have to take my gloves off and dig around in my pocket for my ipod",Carol,
MJ09,Rating,3,"Wish buttons were on sleeve","Wish the buttons were on the sleeve but still very cool. Jacket is way warm too",Ronald,
MJ10,Rating,4,"Great on my evening ride","I went back to the site and snagged another in a different color - they're great on my evening rides. I usually prefer raglan sleeves but I am always comfortable in this design, and the mesh works wonders for keeping my temperature down. ",Arden,
MJ10,Rating,3,"Loop thing broke","I'd give it 4 or 5 stars if it wasn't for the fact that the effing  loop thing broke. It wasn't stretchy enough and now im back to carrying my fone and sweating on it ughghg! ",Jessie,
MP01,Rating,2,"They chafed me!","They chafed me!",Rashad,
MP01,Rating,4,"They are comfy","Don't know why people on here are so negative about these pants. They are comfy and feel very lightweight and soft. The internal pocket is great for cash when I need to refeul during runs! ",Barrett,
MP01,Rating,1,"Saggy pants","After running in these saggy pants I just wanted to crawl into a hole a die. ",Davis,
MP02,Rating,2,"These are really bulky","These are really bulky and not very flattering at all. It looks like I have a big bulge at my stomach. I wear them around the house but I wouldn't go out in public with them on.",Donte,
MP02,Rating,2,"Inseam is WAY too long","Either I'm too short or this inseam is way off. WAY too long! I trip constantly in these.",Reyes,
MP02,Rating,3,"Keeping me warm before games","They do the job of keeping me warm before a game. I wear them then and only then-wouldn't wear them anywhere else.",Harold,
MP03,Rating,4,"There's nothing to dislike","There's nothing to dislike about these track pants bc they do everything you want??blocks the wind and keeps you warm. Very happy I got them!",Darius,
MP03,Rating,3,"The mesh lining sometimes snags","The mesh lining sometimes snags when your taking them off but that's pretty common I think. Like them and would recommend.",Armando,
MP04,Rating,4,"These are great!","These are great! Major major points for the two-tone design plus all those technologies - I never feel gross after my runs. A must have for anyone serious about their body! ",Hershel,
MP04,Rating,5,"I bought these for my man.","I bought these for my man. What can I say, these pants keep him comfortable and dry. Never heard any complaints except that he wishes they stretched more. Good buy! ",Hans,
MP04,Rating,4,"I like them","I like them, they keep my sweat on the down low. They are stretchy. And I like the pockets. They look cool, too. So yeah. Go buy them.",Kenny,
MP05,Rating,4,"THESE PANTS KEEP ME WARM","THESE PANTS KEEP ME WARM WHEN IM BENCHED AT MY GAME! I DON'T GET TO PLAY A LOT. LOL",Nicky,
MP05,Rating,4,"Good dog walking pants","Good dog walking pants",Mark,
MP05,Rating,3,"The draw string is more like half a draw","The draw string is more like half a draw string. Dosent stay so pants fall of my butt. I think they run too big.",Margarito,
MS01,Rating,3,"I got this for running","I got this for running, but the fit is kind of funny so I just end up wearing it for yard work. It's light enough, just nothing special.",Tyree,
MS01,Rating,4,"Nice and light. ","Nice and light. I like that there's no obnoxious design.",Weston,
MS01,Rating,5,"I bought 5 of the same color!","People at the gym probably think I don't wwas my cloths because I wear this evryday but I just bought 5 of the same color because it's awesome!",Jude,
MS02,Rating,5,"my new favorite CrossFit shirt","Fits great. It's my new favorite CrossFit shirt.",Leigh,
MS02,Rating,4,"Works for the gym","Works for the gym and even as an undershirt.",Roland,
MS03,Rating,5,"I like the crew neck","I got this shirt in the v-neck version too and I like the crew a lot better. It seems to fit better and I think the fabric is lighter. This one doesn't have the mesh inserts but allover the fabric feels better.",Edison,
MS03,Rating,1,"Hate the fabric","Why is this kind of fabric all the rage? I know it's supposed to be the best thing since sliced bread with the moisture wicking crap but I feel like I sweat MORE than with just regular cotton. I'm over paying an arm and a leg for the ""technology."" give me a 5 dollar tshirt from the dollar store!",Hai,
MS04,Rating,5,"Ready to hit the gym","As soon as I put this shirt on I feel ready to hit the gym, even on my laziest days. Something about the way it feels just gets me psyched up!",Cletus,
MS04,Rating,2,"Too small ","I'm a bodybuilder with extremely large, buff muscles and this shirt simply does not accommodate my bulk. Even with the V neck it's too tight around my neck, and the sleeve openings were practically cutting off circulation to my biceps and triceps! I had to send it back but I have to admit that felt good ;)",Gustavo,
MS04,Rating,3,"it says moisturewicking?","it says moisturewicking but i still sweat when i wear this shirt, don't trust what you read on the internet",Filiberto,
MS05,Rating,5,"This shirt is a dream come true","This shirt is a dream come true for a sweat bucket like me. Love the material and I don't look like I got stuck in the rain when I'm done working out.",Nathan,
MS05,Rating,4,"Awesome tee! Not cheap.","Awesome tee! Not the cheapest though.",Darwin,
MS05,Rating,3,"Liked the way it fit mostly","Liked the way it fit mostly. But the collar was weird. I guess it kept me dry?",Jonas,
MS06,Rating,3,"Keeps me cool","I like this shirt, it keeps me cool when I'm lifting. Would like a tighter fit though.",Warren,
MS06,Rating,4,"Gets the job done. Even when I'm pouring","Gets the job done. Even when I'm pouring sweat, this shirt maintains a nice dry feel. I think the sizing runs a little large, so order accordingly.",Jerome,
MS07,Rating,3,"I sweat SO much.","I sweat SO much. This top is fine when I don't intend to exert myself, but BOY does it NOT work for people with hyperhydrosis!",Alfonzo,
MS07,Rating,3,"This shirt is too tight and too thin.","This shirt is too tight and too thin. REALLY emphasizes the fact that I do not have clearly defined pectorals.",Sergio,
MS07,Rating,4,"Great training top. ","Great training top. I like that it also has UV protection because I'm outdoors all the time. Seems are a little weird tho.",Donnell,
MS08,Rating,5,"I love this shirt. Perfect fit","I love this shirt. Perfect fit, perfect price. My dad plays on a softball team and I got one for him and he is very happy too. has my vote! ",Erwin,
MS08,Rating,3,"Comfortable and soft","On the plus side, it's definitely comfortble and soft,  and yes it does keep you dry  no matter how much you sweat. However, I found the cuffs to be too tight and the material is a little too sheer for my tastes. But it's not the most expensive on the shelf, so whatever.",Don,
MS08,Rating,3,"It's okay, a little boring. ","It's okay, a little boring. ",Maynard,
MS08,Rating,2,"Very comfy but wears thin","It is very comfy but wears thin - I won't be able to get much more use out it as it now is revealing my bra I think. I have the white one so I will switch to a darker color if I decide to by another 1. Very embarrassing when your at the gym. ",Hiram,
MS09,Rating,4,"I've lost 50 pounds in 5 months","I've lost 50 pounds in 5 months and this shirt kept me comfortable since day one. I would recommend it to anyone serious about workout. Sizes run small tho so order a size up. ",Darwin,
MS09,Rating,2,"Fell apart in wash","I don't even know where to begin. It fell apart during the third wash. Whoever says this is a good-quality piece of gear is lying through their teeth! ",Chung,
MS09,Rating,5,"Fantastic shirt for the price!","This is a fantastic shirt for the price!",Jae,
MS10,Rating,5,"Luma got it right with this one.","Luma got it right with this one. I don't care about looking stylish, I just want a shirt that will still feel good after an hour at the gym, and that's what I got.",Alfred,
MS10,Rating,1,"Ripped the FIRST TIME I wore ","This shirt ripped the FIRST TIME I wore it.",Carlo,
MS10,Rating,3,"Really comfy shirt","Really comfy shirt, sometimes clings a bit but at least it dries fast.",Gus,
MS11,Rating,4,"I work out a lot","I work out a lot and my shoulders are really big, most tank tops are too tight in the armholes but this one is great.",Harry,
MS11,Rating,3,"Nice fit and fabric","Nice fit and fabric, but the inserts are in weird places.",Damon,
MS11,Rating,5,"I purchased this tank top for my son","I purchased this tank top for my son when he's working out in the gym after school. It fits great and he loves it!",Duncan,
MS12,Rating,1,"Yea. This pilled imeddiately","Yea. This pilled imeddiately after I washed it. Definatly returning.",Wendell,
MS12,Rating,2,"Why can't you make this in my size?","Why can't you make this in my size? Thank you for the color at least. ",Harold,
MS12,Rating,5,"Wear this on evening runs","Wear this on evening runs. I absolutely adore it and will probably buy more.",Kasey,
MSH01,Rating,4,"Great for baoting ","We go boating a lot and these are great for when I'm putting our boat in the water. Those tiny rocks and pebbles can be super sharp but I never feel a single one of them. ",Manual,
MSH01,Rating,4,"These do drain well","These do drain well and are really comfortable but the bottoms can still be slippery if you're walking on wet rocks. Just be careful!",Milton,
MSH01,Rating,4,"They work great in water","They work great in water but I also like to wear em on hotter days if we're walking around and regular sandals will let too much debris get in.",Antwan,
MSH03,Rating,3,"The only things I care about when I'm ru","The only things I care about when I'm running are comfort and speed. These are definitely comfortable but I don't think their lightweight enough to give me great speed. And the search continues.",Lamont,
MSH03,Rating,4,"Great! I wear these almost every day-esp","Great! I wear these almost every day-especially love that I don't have to worry about the laces.",Gerald,
MSH03,Rating,4,"These sit in my foyer waiting for my eve","These sit in my foyer waiting for my everyday run. Sometimes I run 5 miles in them, sometimes 10. They never let me down.",Ike,
MSH04,Rating,2,"Running in these are imPOSSible!! I only","Running in these are imPOSSible!! I only can run 23 minutes at a time, but these hurt when I even do that. They look pretty snazzy though, lots of compliments from the ladies on my route.",Hugh,
MSH04,Rating,3,"Pretty average cts. Their comfrtable whe","Pretty average cts. Their comfrtable when I first start but don't try working out too hard in them. You're feet will definitely start to hurt!",Judson,
MSH04,Rating,4,"I wear these to my gym daily. I go hard ","I wear these to my gym daily. I go hard on the treadmill and these don't let me down.",Carlo,
MSH05,Rating,5,"Love, love, love - did I say love? It wa","Love, love, love - did I say love? It was totally worth it to wait for Luma to come out with a trail running shoe. Very comfortable.",Jerold,
MSH05,Rating,2,"I slipped on a rock on these shoes and I","I slipped on a rock on these shoes and I could feel all the pain. I would go out running on a regular day in these but not if it's been previously raining.",Ezra,
MSH05,Rating,4,"The only thing I don't like about these ","The only thing I don't like about these shoes are the weird toes. They point upward making it look really strange on a guy. Otherwise very good.",Simon,
MSH06,Rating,3,"These are really good to play tennis in ","These are really good to play tennis in too. They fit a little narrow in the heel which was fine for me but might be a problem for others.",Noah,
MSH06,Rating,4,"I wore these until they finally gave out","I wore these until they finally gave out! Great running shoes..very comfortable and light and I could feel the difference the Torsion system makes. Highly recommended for anyone going out 4 to 5 times a week.",Joey,
MSH07,Rating,5,"How awesome is it to find a product that","How awesome is it to find a product that works exactly as advertised! These seriously felt like I'd been wearing them forever, the first time I put them on. The way it molds to your foot is amazing. I have run two full marathons in these with barely a blister. GO LUMA!",King,
MSH07,Rating,5,"I wouldn't be a runner if it wasn't for ","I wouldn't be a runner if it wasn't for these shoes. I used to get really bad shin splints, blisters and pulled muscles no matter how much I stretched. Once I bought these it got so much eaiser. It is true that they are not that stylish but if you are serious about running, who cares?",Irwin,
MSH07,Rating,3,"I wear these for a variety of sports and","I wear these for a variety of sports and they are very comfortable, no complaints there. I'm not crazy about the design though. In person they look kind of feminine. Plus the color is no bueno. They somehow looked dirty and old even fresh out of the box.",Monroe,
MSH08,Rating,4,"Awesome shoes!! I didn't realize how muc","Awesome shoes!! I didn't realize how much I'd been missing by wearing other shoes without a lot of heel cushioning. I'm sticking with these from now on.",Josh,
MSH08,Rating,2,"They ran too narrow for me and the mater","They ran too narrow for me and the material was almost too light - seemed pretty flimsy and I don't think they would last very long.",Leslie,
MSH09,Rating,3,"These are really REALLY LIGHT! Not much ","These are really REALLY LIGHT! Not much shoe or cushioning. My calves were sore after running in them 5 miles the first time.",Jody,
MSH09,Rating,3,"Not great on slippery grass. I wear them","Not great on slippery grass. I wear them mostly for walking around.",Chad,
MSH09,Rating,4,"I used these as racing flats and they we","I used these as racing flats and they were awesome. ",Anibal,
MT01,Rating,1,Unflattering,"Honestly, could this be any more unflattering? The cut is really bad and I can't see anyone looking good in this unless they're really muscular.",Dominic,
MT01,Rating,4,"Keeps me comfortable","I've only worn it a few times so far, but it really keeps me comfortable at the gym. I throw on a pair of athletic shorts and call it a day.",Mervin,
MT01,Rating,3,"Nothing to write home about","I agree with the reviewer above. You can get this same tank in a million other stores, nothing to write home about. Do like the top stitching though-really adds some athleticsm.",Trey,
MT01,Rating,3,"Average tank","It's just an average tank. Nothing really to say about it. I rarely work out so I can't speak to the moisture-wicking part.",Edmund,
MT02,Rating,3,"NOT for skinny dudes ","Unless ur really muscular this won't look good. I'm keeping it cuz it's motivation to keep working out. But skinny dudes be warned.",Tracey,
MT02,Rating,4,"Keeps me feeling dry","The fabric is great when I'm sweating hard. It keeps me feeling dry. Wish there was more ventilation.",Archie,
MT02,Rating,5,"I feel awesome when I wear this","I feel awesome when I wear this to hit the gym!!!  The cut makes my triceps look huge. It's so rewarding to look in the mirror after a really tough workout. My girlfriend says I look like a lunkhead but I know she loves it!!",Eldon,
MT03,Rating,3,Comfortable,"Not as lightweight as it seems but it was ok. Comfortable.",Joey,
MT03,Rating,3,"I bought a few of these for my husband. ","I bought a few of these for my husband. He likes them but they did shrink when washed. I just don't put them in the dryer anymore and it's fine!",Matthew,
MT03,Rating,2,"TINY neck hole??","Why is the neck opening so small??? Didn't fit right.",Monroe,
MT04,Rating,2,"Shirt can stink after","Ok, MAYBE this is just me but I sweat a LOT when I run, and I've noticed that this shirt really retains odor.  I washed it three times and it still stank so I had to just throw it away. Which sucks because I really liked it, but come on!",Scotty,
MT04,Rating,3,"Wish it was longer","wish it was longer. i'm 5'11 with a long torso and it's too short.",Alexander,
MT04,Rating,4,"Razorback version?","I'd prefer if it was Racerback, but otherwise it's a great shirt. The Mesh zones are where you need them when you really get Sweaty.",Graham,
MT04,Rating,5,"Fits true to size, feels great.","Fits true to size, feels great. I bought three and I won't wear anything else when I'm training.",Patrick,
24-UB02,Rating,5,"I bought this bag for my daughter","I bought this bag for my daughter because she travels all the time and she loves it! It's easy for her to roll and carry by herself even when full. ",Shella,
24-UB02,Rating,4,"Goes everywhere with me","I've taken this bag to so many places and everything still works. I hate when the threads start to come apart and the zipper gets caught after like 2 uses. So far so good!",Crissy,
24-UB02,Rating,3,"The material is a little thin","The material is a little thin so I'm afraid it won't last long. The zippers slide really nice and the wheels are good on the pavement. Overall a good purchase.",Alene,
24-UG01,Rating,5,"OBSESSED with this!","OBSESSED with this! I love that it's adjustable! A bit more expensive than I wanted, but TOTALLY worth it.",Cliff,
24-UG01,Rating,4,"Great but pricey","This totally makes me feel like I'm actually working my muscles. The adjustable thing is awesome. A bit pricey though.",Fiona,
24-UG01,Rating,1,"I hate working out...This does not help.","I hate working out...This does not help.it gets tangled really easily.can't even get threw 1 work out with it. Returning.",Ardith,
24-UG02,Rating,3,"Want more resistance","Its great to be able to work out at home and sometimes on my lunch break at work - I wish this provided more resistance, though.",Randy,
24-UG02,Rating,3,"Agreed. More resistance","Agreed. I can do plenty of exercises with it and its awesome for when I can't make it to the gym, but I'd like more resistance, too.",Keren,
24-UG03,Rating,5,"Too lazy to go to gym","I use these when I'm too lazy to go to the gym. Really helps me stay in shape. I have already adjusted several times to increase the tension because I'm getting stronger!",Madeleine,
24-UG03,Rating,1,"Do not buy!","Tried to adjust one and the plastic part just snapped in half. Very Disappointed. Do not buy!",Ricky,
24-UG03,Rating,3,"They work, nothing special. ","They work, nothing special. I had a set that I liked better but my ex stole it.   ",Krystle,
24-UG04,Rating,4,"Good value for the price","pretty satisfied with this jump rope. good value for the price",Lavonia,
24-UG04,Rating,5,"I BRING THIS TO ALL MY MEETS!","I BRING THIS TO ALL MY MEETS FOR WARMUP!!! BARELY TAKES UP ANY SPACE IN MY BAG",Andy,
24-UG04,Rating,5,"perfect for when I'm too lazy","this is so perfect for when I'm too lazy to go to the gym. I do a few pushups and then whip out the jump rope and work on my cardio. It's a quick workout that makes me feel greaat and I don't even have to leave the house",Orville,
24-UG05,Rating,5,PURPLES,"I bought these pushup grips because they came in purple!! my boyfriend has his own and I love using them but the purple was so perfect for me because I'm a girly girl at heart",Toya,
24-UG05,Rating,3,"these are ok","these are ok, but my brother has the military ones and I like them loads better",Johanne,
24-UG05,Rating,5,"Will whip you into shape!","these things whip you into shape! a month after I got them and used them several times aeach week I could see a huge difference in my muscle tone. very happy with the results!!!  :)",Ashlea,
24-UG06,Rating,3,"Easy to clean","Wide mouth opening makes it easy to clean! ",Olimpia,
24-UG07,Rating,5,"Perfect weight","I always found 10 lb weights too light and 20 lb too heavy. This is just right!",Danielle,
24-UG07,Rating,5,"should've got a while ago","I don't know why I didn't get this years ago. I've been diligently doing ab workouts every day with little effect. Incorporated this into my routine and BAM! I can see my love handles melting away!",Keith,
24-WB01,Rating,4,"I love this bag! It's cute","I love this bag! It's cute and doesn't advertise that I'm going to the gym like a duffel bag.",Dodie,
24-WB01,Rating,3,"I pack a TON of stuff","I take a TON of stuff to the gym and yoga studio. Way more than I should but this bag still allows me to carry a bunch of it. I like taking it better than any other bag.",Tara,
24-WB01,Rating,3,"Wish there were pockets ","I like it but I wish there were pockets on the inside instead of just one big space. I didn't think it would fit inside my locker but it did.",Chasidy,
24-WB02,Rating,4,"Motivated by this Bag!","I purchased this bag hoping it would give me more motivation to go to the gym and it has! Not too big, sized just right for me and all my friends love it :)",Tamisha,
24-WB02,Rating,3,"Wish it had more pocket","Wish it had more pockets, but it's still good. A shoulder strap would also have been nice.",Lidia,
24-WB03,Rating,5,"Fits tons of gear","I take this along whenever I head up to my cabin. Fits tons of gear plus a few of my favorite electronics. And duct tape.",Elizabeth,
24-WB03,Rating,4,"ok bag for a day's hike","ok bag for a day's hike around Hawk Mountain. Needs a sturdier top handle tho, things ripped",Sueann,
24-WB04,Rating,4,"I bike four miles a day to work and back","I bike four miles a day to work and back and I love this thing. It's a good size and it's pretty comfortable to wear across my back while I ride. So far I have not noticed much wear and tear on the fabric and I've had it for 6 months.",Sadye,
24-WB04,Rating,3,"I would love this bag EXCEPT . . .","I would love this bag EXCEPT with the case on my Iphone won't fit in the cell phone pocket! Why make a pocket for cell phones if it's not going to fit an Iphone.",Adena,
24-WB04,Rating,3,"it's really ugly,","Its fine I guess but it's really ugly, I picked out a really cute bag for college but my mom got me this one instead.",Tracee,
24-WB05,Rating,5,"What's not to like about this bag?!!","What's not to like about this bag?!! It's simple, clean and modern, and it fits me perfeclty. The roominess is a big plus when I make multiple trips to the gym then the grocery store then wherever else. LOVE IT! ",Anglea,
24-WB05,Rating,3,"Did I get floor model?","I must have a floor model or soemthin cuz when I ordered it it came all stained up, some brown crust or somethin. Gross. I requested a refund so we'll see. Other than that I think it's a quality bag, just disappointed with mine. ",Lasandra,
24-WB06,Rating,5,"I bought this backpack for my daughter","I bought this backpack for my daughter who's going to college this year. Her campus is huge and I was concerned that she would hurt her back lugging all those books around. It seems like there's enough padding!",Francesca,
24-WB06,Rating,5,"I heart this backpack so hard. ","I heart this backpack so hard. The colors are soooo cute and there's enough room for all my stuff xoxo ",Susy,
24-WB06,Rating,1,"Can I give zero stars?","I would give this bag zero stars if I could!!!  All of the zippers fell off the first tim I used it!!!  DON'T BUY THIS ",Ingeborg,
24-WB07,Rating,2,"Um, not actually waterproof","This bag is definitely not waterproof. I accidentally left it outside in a downpour, and my clothes got soaked. I'm disappointed!",Aiko,
24-WB07,Rating,4,"A roomy duffle","I really love how roomy the duffle is. I'm a clotheshorse, so I like to take a lot of outfits with me when I go away. I have no problem stuffing it all in. It's not a very stylish bag, but it serves its purpose.",Dollie,
24-WB07,Rating,3,"doesn't hold that much","It doesn't hold that much, so it's really just good for a night or two away. It's also pretty plain looking, so for those who like bells and whistles, look elsewhere.",Caroyln,
24-WG01,Rating,4,"Good bank for small hand","I bought this watch specifically for its band because I have really small wrists and have a hard time finding watches that fit, even ones that say women's. This one fit wonderfully and I could even make it smaller!",Desiree,
24-WG01,Rating,3,"Super sleek, love it. ","Super sleek, love it. I'm buying another as a gift!",Cecelia,
24-WG01,Rating,3,"My mom loves it","I bought this watch for my mom to workout with and she loves it. It's not too difficult for her to set and she uses it all the time now.",Natosha,
24-WG02,Rating,5,"Not classical but cool","Even though I'm a fan of classic/traditional styles, I bought this watch for something different since it's fun and I could really use for tracking my sprints. I have no complaints!",Pok,
24-WG02,Rating,2,"Buckle BROKE","my buckle BROKE off the 2nd time I wore it. And then I had issues getting a replacement even with the warranty. Luma needs to stick to clothing basics because they clearly are out of their league with the more technical stuff. UGH",Grace,
24-WG03,Rating,2,"It died after  a week","It died after  a week of infuriating malfunctionality! First that little plastic screen that houses the numbers - yeah. it popped off in 24 hours. Okay, no problem i thought, i'll just not touch any thing vital. Then the metal back popped off and landed in the toilet so there was just no recovering that. THEN  the buckle broke! In the trash it went!",Nadia,
24-WG03,Rating,3,"The strap broke","The strap broke, which made me think I have fat wrists but I don't.",Laronda,
24-WG03,Rating,3,"Pieces kept coming off","Pieces kept coming off.",Colleen,
WG081,Rating,2,"Deflates really fast ","unfortunately mine deflates really fast for some reason-I think I got a bad ball",Ashely,
WG082,Rating,5,"Use it all the time!","I adore my lime green stability ball! I sit on it while I pay bills and do bookkeeping at home for a low-key core workout. ",Bessie,
WG083,Rating,5,"huuuuge fan!","huuuuge fan! I will NOT do any ab workouts without one of these babies now cause they make it so much more effective!!",Barbie,
24-WG09,Rating,4,"Keeps excellent time and is pretty tough","Keeps excellent time and is pretty tough! Still no scratches or scuffs after a year of wearing it.",Denese,
