"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s foi adicionado à sua lista de desejos. Clique <a href=""%2$s"">aqui</a> para continuar comprando."
"%1$s has been updated in your wishlist.","%1$s foi atualizado em sua lista de desejos."
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foram adicionados ao carrinho de compras: %s."
"%s for ""%s"".","%s para ""%s""."
"%s has been moved to wishlist %s","%s foi movido para a lista de desejos"
"%s's Wishlist","Lista de Desejos %s"
"* Required Fields","* Campos obrigatórios"
"Unable to add the following product(s) to shopping cart: %s.","Não é possível adicionar o(s) seguinte(s) produto(s) ao carrinho de compras: %s."
"Update Wishlist","Atualizar Lista de Desejos"
"User description","Descrição do usuário"
"View Details","Visualizar Detalhes"
"View Product","Ver Produto"
"What's this?","O que é isso?"
"Wishlist","Lista de presentes"
"Wishlist Section","Seção da Lista de Desejos"
"Wishlist Sharing","Compartilhamento da Lista de Desejos"
"Wishlist could not be created.","A lista de desejos não pôde ser criada."
"Wishlist is empty now.","A lista de desejos está vazia agora."
"You have no items in your wishlist.","Você não tem itens na sua lista de desejos."
"Your Wishlist has been shared.","A sua Lista de Desejos foi compartilhada."
