" [deleted]",[已删除]
"Are you sure you want to delete the selected backup(s)?",你是否确定要删除所选备份？
"Are you sure you want to proceed?",你是否确定要继续？
"Authentication error occurred.",认证错误。
"Auto-redirect to Base URL","自定重定向到基本 URL"
Autosettings,自动设置
Average,平均订单量
"Average Orders",平均订单
Backup,备份
"Backup Name",备份名称
"Backup options",备份选项
"Base Image",基础图片
"Base Link URL","基本链接 URL"
"Base URL for Static Library Files",静态库文件的基础URL
"Base URL for Static View Files",静态视图文件的基础URL
"Base URL for User Media Files",媒体文件缓存的基础URL
"Base URL for View Files Cache",视图文件缓存的基础URL
"Base URLs",基础URL
"Base URLs (Secure)",基础URL（安全）
"Base currency",基本汇率
Bcc,Bcc
"Browse Files...",浏览文件...
"Bundle Product",打包产品
"CMS page:",CMS页：
"CSS Settings","CSS 设置"
"Cache Control",缓存控制
"Cache Management",缓存管理
"Cache Type",缓存类型
"Catalog Rewrites",产品目录重写
Category:,分类：
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","图表被禁止。为了启用图表显示，单击<a href=""%1"">这里</a>。"
"Choose Store View:",选择店铺视图：
"Chosen category does not associated with the chosen store.",选择和店铺没有关联的分类。
"Chosen cms page does not associated with any website.",选择了和任何站点没有关联的CMS页。
"Chosen cms page does not associated with the chosen store.",选择没有和店铺关联的CMS页。
"Chosen product does not associated with the chosen store or category.",选择和店铺或者分类没有关联的产品。
Clear,清空
Communications,通讯
"Configurable Product",可配置产品
"Cookie (unsafe)",Cookie（不安全）
"Cookie Domain",Cookie域
"Cookie Lifetime",Cookie生命周期
"Cookie Path",Cookie路径
"Cookie Restriction Mode","Cookie 限制模式"
"Country Options",国家设置
"Create DB Backup",创建DB备份
"Create URL Rewrite:",创建URL重写：
"Currency ""%1"" is used as %2 in %3.","货币""%1""作为%2使用在%3。"
"Currency Setup Section",币种设置区域
"Current Configuration Scope:",当前配置范围：
"Current Month",当前月份
"Custom Admin Path",自定义管理路径
"Custom Admin URL","自定义管理 URL"
"Custom Email 1",自定义邮件1
"Custom Email 2",自定义邮件2
"Custom Variable ""%1""","自定义变量 ""%1"""
"Customer Support",顾客支持
"Data Transfer",数据传输器
"Date selector",日期选择器
Debug,调试
"Default Config",默认配置
"Default Cookie Settings",默认Cookie设置
"Default Country",默认国家
"Default No-route URL",默认非路由URL
"Default Pages",默认页面
"Default Web URL","默认Web URL"
"Default display currency ""%1"" is not available in allowed currencies.","默认显示货币""%1""在允许的货币里不可用。"
"Default scope",默认范围
"Delete %1","删除 %1"
"Delete Web Site",删除站点
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.",删除%1不会删除与%1关联的信息（如分类、产品等）。但是%1将不可恢复。所以建议你在删除%1之前创建数据库备份。
"Design Section",设计区域
"Design Theme",设计主题
Developer,开发人员
"Developer Client Restrictions",开发人员客户端限制
"Developer Section",开发人员区域
"Disable Email Communications",禁用电子邮件通讯
"Disable Modules Output",禁用模块输出
"Display Settings",显示设置
"Display default currency",显示默认币种
"Downloadable Product",可下载产品
"Edit Store Design Change",编辑店铺设计
"Edit URL Rewrite",编辑URL重写
"Edit URL Rewrite for CMS page",给CMS页编辑重写URL
"Edit URL Rewrite for a Category",给分类编辑重写URL
"Edit URL Rewrite for a Product",给产品编辑重写URL
"Edit Web Site",编辑站点
Elements,元素
"Enable Single-Store Mode",允许单店模式
"Enabled for Admin",启用管理
"Enabled for Frontend",为前端启用
"Enter https protocol to use Secure URLs in Admin.",
"Enter https protocol to use Secure URLs in Frontend.",输入https协议让前端使用安全URLs。
"Environment Update Time",环境更新时间
Error,错误
"European Union Countries",欧盟成员国
"Exceptions Log File Name",例外日志文件名
"Exclude media folder from backup",从备份中排除媒体文件夹
"Export CSV",导出CSV
"FTP Host","FTP 主机"
"FTP Login","FTP 登录"
"FTP Password",FTP密码
"FTP credentials","FTP 凭据"
"First Day of Week",每周第一天
"Flush Catalog Images Cache",清除产品目录图像缓存
"Flush JavaScript/CSS Cache",清除JavaScript/CSS缓存
"For CMS page",给CMS页
"For Windows server only.",仅仅为Windows服务器。
"For category",分类
"For product",产品
"Forgot Password Email Template",忘记密码邮件模板
"Forgot and Reset Email Sender",忘记和重置邮件发送者
"General Contact",常规联系人
"General Section",常规区域
"Get help for this page",获得有关本页面的帮助
"Global Attribute",全局属性
"Global Search",全局搜索
"Grouped Product",分组产品
"HTTP (unsecure)",HTTP（不安全）
"HTTPS (SSL)",HTTPS（SSL）
Hour,时
"How many links to display at once.",一次显示多少链接。
"I.e. redirect from http://example.com/store/ to http://www.example.com/store/",例如：从http://example.com/store/转向http://www.example.com/store/
"ID Path",ID路径
"If no value is specified, the system default will be used. The system default may be modified by third party extensions.",如果没有指定值系统默认值将被使用。系统默认值可能被第三方扩展修改。
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.",如果当前框架位置无法涵盖最大的页面，将呈现链接到当前位置并加/减该数值。
"If you continue to receive this message, please contact the store owner.",如果您一直收到该消息，请联系店主。
"Image Adapter",图片适配器
"Image Processing Settings",图片处理设置
ImageMagick,ImageMagick
"Images (.gif, .jpg, .png)",图像（.gif、.jpg、.png）
"Images Cache",图像缓存
"Invalid %1. %2","无效的%1。 %2"
"Invalid Form Key. Please refresh the page.",来源密钥无效，请刷新本页面。
Invalidated,撤销
"Inventory Stock Status",盘点库存状态
"JavaScript Settings","JavaScript 设置"
"JavaScript may be disabled in your browser.",您的浏览器可能禁止了Javascript
"JavaScript/CSS Cache",JavaScript/CSS缓存
"Last 24 Hours",过去24小时
"Last 5 Orders",上五个订单
"Last 5 Search Terms",上五个搜索词
"Last 7 Days",上七天
"Leave empty for access from any location.",从任何位置访问留空。
Loading...,正在加载...
"Locale Options",区域选项
"Log Settings",日志设置
"Log in",登录
"Log into Magento Admin Page",登录到Magento管理页面
"Logging from \Magento\Logger. File is located in {{base_dir}}/var/log","从\Magento\Logger记录。文件位于{{base_dir}}/var/log"
"Login is Case Sensitive",登录信息大小写敏感
"Logo Image",徽标图像
"Logo Image Alt",备选徽标图像
"Magento Admin",Magento管理
"Magento Admin Panel",Magento管理面板
"Magento is an eBay Inc. company. Copyright&amp;copy; %1 Magento, Inc. All rights reserved.","Magento属于eBay公司。 版权&copy; %1 Magento， Inc. 版权所有。"
"Magento root directory","Magento 根目录"
"Magento ver. %1",Magento版本%1
"Mail Sending Settings",邮件发送设置
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","确保基本URL以""/""（斜线）结尾，例如http://yourdomain/magento/"
Marketing,市场
"Maximum sender name length is 255. Please correct your settings.",最大发送者名字长度是255。请修正您的设置。
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.",可以为空或以{{secure_base_url}}、{{unsecure_base_url}}占位符号开始。
"May be empty or start with {{unsecure_base_url}} placeholder.",可以为空或者以{{unsecure_base_url}}占位符开始。
"May be empty or start with {{unsecure_base_url}} placeholder. <br/> <strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","可以为空或者以{{unsecure_base_url}}占位符开始。 <br/> <strong style=""：red"">警告！</strong> 当使用CDN，如果CDN不在您的子域有些情况下JavaScript可能不能正确运行。"
"May start with {{secure_base_url}} or {{unsecure_base_url}} placeholder.",可以以{{secure_base_url}}或{{unsecure_base_url}}占位符开始。
"May start with {{unsecure_base_url}} placeholder.",可以以{{unsecure_base_url}}占位符开始。
"Media (.avi, .flv, .swf)",多媒体（.avi、.flv、.swf）
"Merge CSS Files",合并CSS文件
"Merge JavaScript Files",合并JavaScript文件
"Minify JavaScript Files",缩小JavaScript文件
Minute,分
"Most Viewed Products",最受关注商品
"Never (production)",从未（生产）
"New ",新
"New Custom Variable",新自定义变量
"New Store Design Change",创建店铺设计
"New Web Site",新站点
"No Data Found",数据未找到
"No change",无变动
"No records found.",未找到记录。
"No search modules were registered",未注册搜索模块
"Not enough permissions to perform rollback.",没有足够的权限执行回退。
"Offloader header",Offloader头部
"Only Once (version upgrade)",仅一次（版本升级）
Optional,可选
"Order #%1","订单 #%1"
"Order #%1 (%2)","订单 #%1（%2）"
"Other Settings",其他设置
"PHP GD2","PHP GD2"
Pagination,轮换
"Pagination Frame",轮换框架
"Pagination Frame Skip",跳过轮换框架
"Please confirm site switching. All data that hasn't been saved will be lost.",请确认站点转换。所有没有被存储的数据将会丢失。
"Please correct the column format and try again.",请纠正列格式再试一次。
"Please correct the email address: ""%1"".","请纠正邮件地址： ""%1""。"
"Please correct the password.",请纠正密码。
"Please correct the tab configuration and try again.",请纠正tab配置再试一次。
"Please correct the timezone.",请纠正您的时区。
"Please correct the user name or password.",请纠正用户名或密码。
"Please enter 6 or more characters.","请输入 6 个或更多个字符。"
"Please enter a number 1 or greater in this field.",请在该字段输入数字1或更大值。
"Please enter a password.",请输入密码。
"Please enter a valid URL (for example, the URL must begin with ""http://"").","请输入有效的URL（例如：URL必须以""http://""开头）。"
"Please enter a valid URL (for examples, http://www.example.com or www.example.com).","请输入有效的URL（例如：http://www.example.com or www.example.com）。"
"Please enter a valid dollar amount (for example, $100.00).",请输入有效的美元数量（如：$100。00）。
"Please enter a valid email address(for example johndoe@domain.com.).",请输入有效的邮件地址（例如：jondoe@domain.com）。
"Please enter a valid password.",请输入有效的密码。
"Please enter a valid phone number (for example, (123) 456-7890 or 123-456-7890).","请输入有效的电话号码（例如：（123）456-7890 或者 123-456-7890）。"
"Please enter a valid social security number (for example, 123-45-6789).",请输入有效的社会保险号（例如：123-45-6789）。
"Please enter a valid zip code (for example, 90602 or 90602-1234).",请输入有效的邮编（例如：90602或90602-1234）。
"Please enter only letters (a-z) into this field.",请输入字母（a-z）。
"Please enter only letters (a-z), numbers (0-9), spaces and the ""#"" character into this field.","请输入字母（a-z）、数字（0-9）、空格和""#""字符"
"Please enter only numbers (0-9) or letters (a-z) into this field.",请输入数字（0-9）或者字母（a-z）。
"Please enter only numbers (1-9) into this field. Do not use spaces, commas, or any other characters.",请输入数字（1-9）。不要使用空格、逗号或者其他任何字符。
"Please enter only numbers or letters into this field. Do not use spaces, commas, or any other characters.",请输入数字（0-9）或者字母（a-z），不要使用空格、逗号或者其他任何字符。
"Please enter the password to confirm rollback.",请输入密码来确认回滚。
"Please make sure that all global admin search modules are installed and activated.",请确保所有全局管理员搜索模块已安装并已激活。
"Please put your store into maintenance mode during backup.",在备份过程中请把您的店铺置成维护模式。
"Please put your store into maintenance mode during rollback processing.",在回滚过程中请把您的店铺置成维护模式。
"Please select one of these options.",请选择选项中的一个。
"Please specify backup creation option.",请说明备份创建选项。
"Please specify the admin custom URL.",请指定管理用的自定义URL。
"Please try to log out and sign in again.",请尝试退出登录再次登录。
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.",在此字段内请仅使用字母（az或AZ）、数字（0-9）或空格。
"Please use this date format: dd/mm/yyyy. For example, enter ""17/03/2006"" to represent March 17, 2006.","请使用如下日期格式： dd/mm/yyyy。 例如： 输入""17/03/2006""表示March 17， 2006。"
"Please wait until the action ends.",请等待操作结束。
"Port (25)",端口（25）
"Pregenerated product images files",预产生图片文件
"Product Details",产品详细
Product:,产品：
Rebuild,重建
"Rebuild Catalog Index",重建产品目录索引
"Rebuild Flat Catalog Category",重建扁平产品目录类别
"Rebuild Flat Catalog Product",重建扁平目录产品
"Recovery Link Expiration Period (days)",恢复链接过期周期（天）
"Request Path",请求路径
"Reset Filter",重置筛选器
"Reset to Default",重置到默认
"Return-Path Email",返回路径邮件
Rollback,回滚
"SEO & Search",SEO和搜索
"SSL Error: Invalid or self-signed certificate",SSL错误：无效的或自签名的证书
"Sales Representative",销售代表
"Save Account",保存账户
"Save Cache Settings",保存缓存设置
"Save Config",保存配置
"Save Web Site",存储站点
"Search Engines Optimization",搜索引擎优化
"Search Index",搜索索引
"Search Optimization",搜索优化
"Search String",搜索字符串
"Search Term",搜索词
"Search strings are either normal strings or regular exceptions (PCRE). They are matched in the same order as entered. Examples:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>","
搜索字符串或者是普通字符串或者正则表达式（PCRE）。他们按照输入的顺序匹配。例：<br /><span style=""font-family：monospace"">Firefox<br />/^mozilla/i</span>"
"Secure Base Link URL",安全基础链接URL
"Secure Base URL for Static Library Files",静态库文件的安全基础URL
"Secure Base URL for Static View Files",静态视图文件的安全基础URL
"Secure Base URL for User Media Files",用户媒体文件安全基础URL
"Secure Base URL for View Files Cache",试图文件缓存的安全基础URL
Security,安全
"Select Category",选择分类
"Select Media Database",选择媒体数据库
"Select Range",选择范围
"Selected allowed currency ""%1"" is not available in installed currencies.","安装的货币中找不到您允许的货币""%1""。"
"Separate Email",单独的邮件
"Service unavailable: %1","无效的服务： %1"
Services,服务
"Session Validation Settings",会话验证设置
"Set Return-Path",设置返回路径
"Sign Out",退出
"Sign Static Files",签署静态文件
"Simple Product",简单产品
"Single-Store Mode",单店模式
Size(bytes),尺寸（字节）
"Skip Category Selection",跳过分类的选择
"Small Image",小图片
"Something went wrong creating the backup.",当创建备份时发生错误。
"Sorry, the default display currency you selected in not available in allowed currencies.","很抱歉， 您选择的默认显示货币在允许的货币里无效。"
"Sorry, we haven't installed the base currency you selected.",很抱歉，还没有安装你选择的基础货币。
"Sorry, we haven't installed the default display currency you selected.","很抱歉， 还没有安装你选择默认显示货币。"
"Specify URL or {{base_url}} placeholder.",指定URL或{{base_url}}占位符。
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.",指定URL或{{base_url}}、{{unsecure_base_url}}占位符。
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","指定一个用占位符%1开头的URL或者路径，并且要以""/""结尾。"
"Specify a URL or path that starts with placeholder(s): %1.",指定一个以占位符%1开头的URL或路径：。
"Specify a fully qualified URL.",指定完整的URL。
"Startup Page",启动页面
"Static Files Settings",静态文件设置
"Storage Configuration for Media",媒体的存储配置
"Store Design",店铺设计
"Store Email Addresses",店铺电子邮件地址
"Store Email Addresses Section",店铺邮件地址区域
"Store Name",店铺名
"Store Phone Number",店铺电话号码
Stores,店铺
"Street Address Line 2",街道地址第二行
Synchronize,同步
"Synchronizing %1 to %2",同步%1到%2
Synchronizing...,正在同步...
"System Log File Name",系统日志文件名
"System Section",系统区域
Tags,标签
"Target Path",目标路径
"Template Path Hints",模板路径提示
"Template Settings",模板设置
"The JavaScript/CSS cache has been cleaned.",JavaScript/CSS缓存已清空。
"The URL Rewrite has been deleted.","URL 重写已被删除。"
"The URL Rewrite has been saved.","URL 重写已保存。"
"The account has been saved.",账户已保存。
"The backup file was not found.",备份文件未找到。
"The database was backed up.",数据库已备份。
"The file size should be more than 0 bytes.",文件尺寸应该大于零字节。
"The file you're uploading exceeds the server size limit of %1 kilobytes.","您正在上传的文件超过了服务器文件尺寸限制%1 kb。"
"The image cache was cleaned.",图片缓存已被清空。
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","无效的发送者名字""%1""。 请仅仅使用可见的字符和空。"
"The timeout limit for response from synchronize process was reached.",同步过程到达的响应的超时限制。
"Themes JavaScript and CSS files combined to one file.","主题 JavaScript 和 CSS 文件已合并为单个文件。"
"There are no search keywords.",没有搜索关键字。
"This action cannot be undone.",该行为不可取消。
"This attribute shares the same value in all stores.",该属性在所有的店铺分享了同一个值。
"This is only a demo store. You can browse and place orders, but nothing will be processed.",这仅是演示店铺。您可以浏览商品和下订单，除此之外什么都不能做。
"This section is not allowed.",该单元不被允许。
"This setting will not be taken into account if system has more than one store view.",如果系统有超过一个店铺视图，该设置将不生效。
Timezone,时区
"To use this website you must first enable JavaScript in your browser.",为了使用本网站，请设置您的浏览器允许Javascript。
Tools,工具
"Top 5 Search Terms",前五位搜索词
"Total %1 records found",共发现%1条记录
"Translate Inline",翻译内嵌
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.",对于前端和管理员内嵌翻译，翻译区块和其它输出缓存应被禁用。
"URL Key",URL键
"URL Redirects",URL转向
"URL Rewrite Information",URL重写信息
"Upload HTTP Error",上传HTTP错误
"Upload I/O Error",上传I/O错误
"Upload Security Error",上传安全错误
"Url Options","URL 选项"
"Use Custom Admin Path",使用自定义管理员路径
"Use Custom Admin URL","使用自定义管理 URL"
"Use Default Variable Values",使用默认变量值
"Use FTP Connection","使用 FTP 连接"
"Use HTTP Only",仅使用HTTP
"Use SID on Frontend","在前端使用 SID"
"Use Secure URLs in Admin",在管理界面使用安全URL
"Use Secure URLs in Frontend","在前端使用安全 URL"
"Use Web Server Rewrites",使用网络服务器重写
"User Content",用户内容
"User Email",用户邮件
"User Name:",用户名：
"User-Agent Exceptions",用户代理人异常
"Validate HTTP_USER_AGENT","验证 HTTP_USER_AGENT"
"Validate HTTP_VIA","验证 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","验证 HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","验证 REMOTE_ADDR"
"Value must be a URL or one of placeholders: %1",值必须是URL或者占位符%1中的一个
"Values less than 60 are ignored.",值小于60将被忽略。
Variable,变量
"Variable Code",变量代码
"Variable HTML Value",变量HTML值
"Variable ID",变量ID
"Variable Name",变量名称
"Variable Plain Value",变量简单值
"View Statistics For:",查看统计：
"Virtual Product",虚拟产品
Warning,警告
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.",警告！不建议在生产环境中启用该功能，因为可能带来潜在的安全隐患。
"We can't save the Cron expression.",不能存储Cron表达式。
"We can't set up a URL rewrite because the category your chose is not associated with a website.",由于您选择的分类没有和任何站点关联不能设置重写URL。
"We can't set up a URL rewrite because the product you chose is not associated with a website.",由于您选择的产品没有和任何站点关联不能设置重写URL。
"We couldn't connect to the FTP.",不能连接到FTP。
"We couldn't create a backup right now. Please try again later.",不能立即创建备份，请稍后再试。
"We couldn't delete one or more backups.",不能删除一个或多个备份。
"We couldn't find any records.",未找到任何记录。
"Web Section",Web区域
"Web Site",站点
"Web Site Information",站点信息
"Weekend Days",周末
"When the adapter was changed, please, flush Catalog Images Cache.",当适配器改变，请刷新产品目录缓存。
YTD,YTD
"Yes (301 Moved Permanently)",是（301永久移动）
"Yes (302 Found)",是（302找到）
"You deleted the customer.",成功删除了该顾客。
"You deleted the design change.",成功删除设计改变。
"You entered an invalid Secret Key. Please refresh the page.",您输入了一个无效的密钥，请刷新页面。
"You have logged out.",您已注销。
"You need more free space to create a backup.",您需要更多的硬盘空间来创建备份。
"You need more permissions to activate maintenance mode right now.",您现在需要更的高权限来激活维护模式。
"You need more permissions to create a backup.",您需要更高权限来创建备份。
"You need more permissions to do this.",您需要更高的权限进行该操作。
"You saved the configuration.",成功存储该配置。
"You saved the custom variable.",成功存储该定制变量。
"You saved the design change.",成功存储设计改变。
"You will have to log in after you save your custom admin path.",保存您的自定义管理路径后，您需要重登录。
"ZIP/Postal Code",邮政编码
"[ deleted ]",[已删除]
[GLOBAL],[全局]
"[New/Edit] URL Redirect",[创建/编辑]URL转向
"[STORE VIEW]",[店铺视图]
[WEBSITE],[网站]
"invalid request",无效的请求
"of %1 pages",总%1页
"see error log for details",打开错误日志看详细信息
"store(%1) scope",店铺（%1）范围
"website(%1) scope",站点（%1）范围
